"HASH_1B09B600": "A doprdele." 
"HASH_3F12B187": "Hej, Shaundi?"
"HASH_7B00FF87": "Vyber si."
"HASH_9DB44987": "Navrhuju, abys zavřel hubu, než ti udělám nějakou trvalejší výzdobu."
"HASH_E36EE187": "Já nevím, člověče..."
"HASH_5B514187": "Co je sakra Akudži?"
"WMPLAYER_SWEEP_REDLIGHT_7": "Uvidíš..."
"HASH_40FB7187": "Kurva..."
"HASH_C9D1D587": "Můj syn je idiot, pane Vogele - jestli si přejete ochranu pro Roniny, měl byste nám nabídnout něco mnohem lepšího."
"HASH_77A41F87": "Brácho, měl bys bejt naštvanej na to hovado, co vede Svatý, ne na Donnieho."
"HASH_2F56AB88": "Jak se máš?"
"HFPLAYER_TORCH_APTS_4": "Ale jo."
"HASH_1239A188": "Nelam si s tím hlavu, Pierci, postaráme se o to..."
"HASH_B893A188": "Zůstaň na místě, hned tam budu."
"HASH_A746AD88": "Neposadíš se?"
"HASH_03083D88": "Mluvila jsem o tý informaci, kterou jsi mi volal, ale podej mi to."
"HASH_CCD99188": "Tví bezpečáci vypadají spíš jak soukromá armáda."
"HASH_1F964588": "To, co teď vidíte, jsou fotografie Saints Row před pouhými několika lety..."
"HASH_29B58D88": "Tahle mládež kouří \"sametový prach\", populární drogu, která díky pouličnímu gangu zvanému Synové Samediho bere město útokem. Vydala jsem se do kampusu, abych se zjistila, co si studenti myslí o této nebezpečné epidemii."
"HASH_5A3BF989": "Jak se máš?"
"HASH_C8507D89": "Myslím, že jsi na sebe byl moc tvrdý."
"HASH_6813CF8A": "Dobrý nápad, prostě si řeknem o pomoc: (Pohlédne na mrtvé tělo) Hej, kámo, helpneš nám? Ne? (Obrátí se na Gata) Vypadá to, že jsme na to sami."
"BFPLAYER_SWEEP_REDLIGHT_7": "Uvidíš..."
"HASH_53E8418A": "Dobrej nápad."
"HASH_AB055D8A": "Co se děje?"
"HASH_0DD0A18A": "Potřebujem se o svatý postarat dřív, než dorazí můj otec."
"HASH_623C998A": "Podívej, nejsem debil, vím, kdo jsi. Nemáme ale důvod se navzájem rozpárat."
"HASH_F5758B8B": "Tohle není vhodná chvíle se nasrat..."
"HASH_17B03B8B": "Předpokládám, že dostanu 80."
"HASH_C5A4A58B": "Ty pašuješ nafukovací erotický hračky?"
"HASH_B516C38B": "Tví kámoši se měli víc snažit."
"BMPLAYER_HIJACKING_DOCKS_1": "Ano."
"HASH_CC44798B": "Ne..."
"HASH_1158538B": "Můj bejvalej je kretén."
"HASH_9C21118B": "Prosím, pomozte mi někdo!"
"WFPLAYER_FUZZ_PROJ_2": "O co jde?"
"HASH_5C82418C": "Navrhuju, abys zavřel hubu, než ti udělám nějakou trvalejší výzdobu."
"HASH_BEB3798C": "Ne na tvůj zatracenej život."
"HASH_FC23DD8C": "Rozhodně těm parchantům musíme připomenout, kdo jsme."
"WMPLAYER_MAYHEM_SHANTY_3": "Tak co chceš, abych udělal?"
"HASH_81B3578C": "Optimismus se zdravou dávkou násilí - Tak už víš, co je v tom sametovým prášku?"
"HASH_314E878C": "Jenom nás zdržuješ - musíme chytit Troye."
"HASH_CA35858C": "Pak bude mnohem zajímavější ho zabít."
"HASH_B695F18C": "Povídám jen, že nevíme, jak dlouho bude Gat mimo hru."
"HASH_A455918C": "Tak do toho."
"HASH_B072C38C": "Našel jsem tu limuzínu!"
"HASH_CF2BB18D": "Překvapuje mě, že máš odvahu přijít sám."
"HASH_AA1A8F8D": "Dobrá práce, Shaundi."
"HASH_F4DE058D": "Optimismus se zdravou dávkou násilí... zjistil jsi, z čeho je ten sametový prášek?"
"HASH_CBDE2B8D": "Ani za nic."
"HMPLAYER_FIGHT_UNIV_1": "Co je?"
"HASH_F313A58D": "Pane Vogel, pan Maero vás..."
"HASH_259C238E": "Dobře, padáme odsud..."
"HASH_BDF23D8E": "Díky, Carlosi."
"BFPLAYER_DRUG_HOTELS_5": "Našel si někoho mladšího, co?"
"HASH_AA696D8E": "Cože?"
"HASH_05CD9D8E": "Jdeme. Dobrá práce, Johnny."
"HASH_EE3DCD8E": "Doslechl jsem se, že jsi tady, a chci tě odsud dostat..."
"HASH_58F71D8E": "Jdi do prdele..."
"HASH_9716A38F": "Proč se díváš jinam?"
"HASH_35B05B8F": "Jessico... jak se ti líbí Maerovo nový tetování?"
"BFPLAYER_ESCORT_SUBURBS_7": "Děláš si srandu? Umírám touhou vidět tvoje holky..."
"HASH_EE73B38F": "Jsi OK, Johnny?"
"HASH_70A0CF8F": "Ser na to, jdem - hodně štěstí, Johny."
"HASH_3B261D8F": "Tak poslouchej, Sluníčko, tvý nasraný ksichty jsou mi úplně u prdele, já se tě nebojím - ani tebe, ani toho druhýho zmrda."
"HASH_D811D38F": "Postaráš se o ty hovnožrouty sám? Já to musím trochu poklidit kolem baráku..."
"BLAKE_TORCH_APTS_2": "Nedělej si starosti, stačí si odpustit jednu túru po hospodách, což tvý služby v pohodě pokryje."
"HASH_EC209990": "Pořád potřebuješ lidi, co pro tebe budou krást auta?"
"HASH_D8372590": "Co to má znamenat?"
"HASH_CF3DB990": "Dneska večer hrajou - nemělo by dát moc práce jim tu show trochu narušit."
"WFPLAYER_FRAUD_FACTORIES_2": "Eh... sorry."
"HASH_A02B6991": "A místní kluci se o to mají postarat?"
"HASH_0465F991": "Pivní bong."
"HASH_18FB8191": "No, nevím sice, zda to lze nazvat dalším plus, ale jak říkal můj otec, když chcete postavit věž ze slonoviny, budete muset zabít pár slonů."
"HASH_BA2A0B91": "Vypadáš... SKVĚLE!"
"HASH_D928F792": "Protože tě za chvíli zabiju, tak je mi to vlastně úplně jedno."
"HASH_10DDFF92": "To se nebojíš vylézt jen tak ven?"
"HASH_C2C96192": "Ty jsi Gio?"
"HASH_B27B0792": "Zpátky."
"HASH_4ACFB592": "Ne - za chvíli budou mrtví."
"HASH_2CDAF592": "Pozóór!"
"HASH_AC45A593": "Protože tě za chvíli zabiju, tak je mi to vlastně úplně jedno."
"HASH_E7C37793": "Co je sakra Akudži?"
"BFPLAYER_SWEEP_REDLIGHT_3": "Co chceš?"
"HASH_2FF77B93": "Sakra, Roninů pořád přibývá!"
"HASH_AD774B94": "Už dvakrát jsem ho zmáčknul, takže vsadím boty, že už je ze hry, ne-li rovnou mrtvej."
"HASH_F3B3C194": "Skvělý..."
"HMPLAYER_FIGHT_UNIV_5": "Fakt? Tak proč nepopoběhneš a nestihneš to?"
"HMPLAYER_FIGHT_PRISON_3": "Nejlepší způsob, jak se nechat probodnout."
"HASH_9CABB994": "Nebýt tebe, ještě bych ležel v zatraceným kómatu."
"BMPLAYER_DERBY_ARENA_2": "Co si sakra myslíš, že d-"
"HASH_C0B59795": "Jenom se postarej, abych se dostal k Vogelovi."
"HASH_822B0995": "Vypadni kurva z mýho auta."
"HASH_208DF195": "Udělej pro mě něco: až otevřeš ten kufr, tak si jenom pamatuj, žes mi měl udělat lepší nabídku než 20 procent."
"BFPLAYER_FRAUD_FACTORIES_4": "Posluž si."
"HASH_FB4E1995": "Překvapená, Aisho?"
"WMPLAYER_FUZZ_PROJ_4": "A nech mě hádat, spousta lidí se bude bránit zatčení?"
"HASH_86DE9395": "Skvělý."
"HASH_A3385595": "Starám se o svý klienty."
"HASH_907B6796": "Snaž se víc."
"HASH_32DD9F96": "Až tě naj-"
"BFPLAYER_ESCORT_SUBURBS_3": "Žádný holky, žádná práce."
"HASH_AB8ED396": "Jo..."
"HASH_D27EB196": "Pořád potřebuješ lidi, co pro tebe budou krást auta?"
"HASH_77CD0B96": "Co je s tím domkem pro panenky?"
"LI_GUARDIAN_CTOWN_3": "Nejedná se o obyčejnou vraždu. Do Stilwateru přijelo na konferenci několik velvyslanců. Zvlášť důležité je, aby tihl-"
"HASH_DF082F96": "Se z toho neposer - Gat se každou chvíli vrátí."
"HASH_3C4BD996": "Kdo kurva seš?"
"VINNIE_CROWDCONT_HOTELS_8": "To si piš... ale každopádně chystám teď někdy premiéru pár kousků a byl bych rád, kdyby ses mi postaral o bezpečnost. Fanoušci porna jsou... no, prostě fanoušci porna a já bych nerad, aby se mým umělkyním něco stalo."
"WFPLAYER_MAYHEM_SHANTY_3": "Tak co chceš, abych udělal?"
"HASH_22F1E797": "No, když pěkně poprosíme, tak určitě."
"HASH_BA9FF997": "Oděvní společnost?"
"BFPLAYER_DRUG_HOTELS_1": "Luz? Co tady děláš? Myslel jsem, že Kolumbijci pošlou svýho člověka..."
"HASH_02A05997": "Co má být s vězením?"
"HASH_DEE38197": "Jo."
"HMPLAYER_FRAUD_FACTORIES_2": "Aj, pardon."
"MONICA_CLNSWEEP_REDLGT_3": "Spravedlnost."
"HASH_76A7B398": "O to zajímavější ho bude zabít..."
"HASH_D3A6A798": "Přemejšlím nad tim..."
"HASH_02214F98": "Ne na tvůj zatracenej život."
"HASH_E85D2998": "To kurva ne, ty jsi zatraceně dobrá."
"HASH_70333798": "Jojo."
"HASH_5AF92598": "Hmmmm, lidi..."
"HASH_1CF85598": "To je náš nový host, zlato. Tenhle šmejd nám jezdil kolem trávníku."
"MIKEY_FIGHT_UNIV_6": "Hajzle zasranej!"
"HASH_03CAE199": "O to zajímavější bude ho zabít."
"HASH_45EA4399": "Cože?"
"HASH_484C3399": "Optimismus se zdravou dávkou násilí. Zjistil jsi, z čeho je ten sametový prášek?"
"HASH_734D0F99": "Zpátky."
"HASH_299DEF99": "Kdo těm Svatým kurva nakukal, aby mě odmítli."
"HASH_3F80EB99": "Ne."
"HASH_596E0399": "Změna plánu."
"HASH_1CC3D799": "Bolestně sípá."
"HASH_AA1B2D99": "Dej jí věčný odpočinek, Ó Pane, a světlo věčné ať jí svítí. Nechť skrze Tvé milosrdenství duše její, jakožto i duše všech věrných zesnulých, odpočívají v pokoji."
"HASH_F2D9799A": "Tak poslouchej, Sluníčko, nezajímá mě, jak nasraně vypadáš, nebojím se tebe, ani toho druhýho pitomce."
"HASH_B95FAB9A": "Jdeme... dobrá práce, Johnny."
"BFPLAYER_FRAUD_MUSEUM_5": "A získat světový rekord podvodem, to nemluví proti tobě?"
"BFPLAYER_FUZZ_SUBURBS_1": "Pořád trochu nechápu, proč mi volá asistent ředitele castingu."
"WMPLAYER_DRUG_HOTELS_5": "Našel si někoho mladšího, co?"
"HASH_611D619A": "A místní kluci se o to mají postarat?"
"HMPLAYER_DRUG_AIRPORT_1": "Pomůžeš mi ven?"
"HASH_9FDD5F9A": "Čau kámo, co pro tebe Sykes může udělat?"
"BMPLAYER_FUZZ_PROJ_2": "Jakej vliv?"
"HASH_2DD0859A": "Tak z tohohle moc velkou radost nemám."
"HASH_44C5479A": "Wongu, vypadni odsud."
"HASH_17CF239A": "Zatleskejme ještě jednou panu Gryphonovi a jeho projektu dolování."
"HASH_1B7C399A": "Po tom, jaks zatočil s Donniem, drží Bratrstvo všechno pod pokličkou. Slyšel jsem někoho mluvit o nějaký zásilce, ale jinak se zdá, že jsme zase na začátku."
"BMHAZ_MAYHEM_NUKE_3": "Z nějakýho přiblblýho důvodu chce město tuhle elektrárnu zavřít. Prý není bezpečná nebo co."
"HASH_87B42B9B": "Tak poslouchej, Sluníčko, nezajímá mě, jak nasraně vypadáš, nebojím se tebe, ani toho druhýho pitomce."
"WMPLAYER_ESCORT_SUBURBS_3": "Žádný holky, žádná práce."
"HMPLAYER_DRUG_HOTELS_5": "Našel si mladší, ne?"
"HASH_71A0FD9B": "Víš, ten tvůj kamarádíček ječel jak děvka, když jsme ho svazovali."
"HASH_64B3A39B": "Počkej, co-"
"HASH_53915B9C": "Je to..."
"HASH_2A278B9C": "Viděli jste někde Gata?"
"BFPLAYER_SNATCH_DTOWN_3": "Myslíš, že to má něco společnýho s tím, že si válíš prdel na lehátku a stavíš pyramidy z plechovek od piva, místo abys byl na ulici?"
"HASH_0401979C": "Zůstaň na místě, hned tam budu."
"HASH_93C49D9C": "Jak to jde?"
"HASH_BE32279C": "Tak jdeme na to, protože vytírání krve už mám dost."
"HASH_2A2F1B9D": "Začíná to být čím dál lepší."
"HASH_F3EB979D": "Až tě naj-"
"HASH_6E3D559D": "Jsi připravený vypadnout?"
"HASH_F6534B9D": "Mohl bys tu bednu zase zapnout?"
"HASH_EEE0EB9D": "To kurva ne. Na čem jsi to makal?"
"HASH_716CC59D": "Zůstaň na místě, hned tam budu."
"HASH_7252DD9E": "To si ze mě snad děláš srandu."
"HASH_E1BBF99E": "Udělej pro mě něco: až otevřeš ten kufr, tak si jenom pamatuj, žes mi měl udělat lepší nabídku než 20 procent."
"HASH_7C6D3B9E": "Ne."
"WMPLAYER_SWEEP_REDLIGHT_3": "Co chceš?"
"HASH_3C8AEF9E": "Teď se moc nehodí bejt nasranej."
"HASH_C86F559E": "*mluví mandarínsky*"
"HASH_CEE7BB9F": "Víš to určitě?"
"WFPLAYER_FIGHT_PRISON_6": "Jak drsná je konkurence?"
"HASH_6C41439F": "Už dvakrát jsem ho zmáčknul, takže vsadím boty, že už je ze hry, ne-li rovnou mrtvej."
"HASH_49E7BD9F": "Tohle není vhodná chvíle se nasrat."
"BMPLAYER_FIGHT_UNIV_5": "Fakt? Tak proč nepopoběhneš a nestihneš to?"
"HASH_1E77719F": "Proč musíš být takový?"
"HASH_3089219F": "Veteran Childe, teď půjdeš a zabiješ tu Shaundi. Jestli se ti to nepovede, pan Sluníčko tě zaživa usmaží. Zní to fér?"
"HASH_D726B79F": "Otevře trezor... pomalu..."
"HASH_E8F20F9F": "Třeba?"
"HASH_6B06CDA0": "Tak mě překvap a pověz mi, jak se zbavíme Generála..."
"HASH_B74515A0": "Bylo by to mnohem rychlejší..."
"HASH_1ADADDA0": "Shaundi, ty máš Syny Samediho."
"HASH_1F8031A0": "Sklapni a poslouchej. Gat se zajímal o japonskýho bose Akudžiho, co se brzy objeví ve městě, a já chci vědět, kdy to bude."
"HASH_FCC3C7A0": "Kdo sakra jsi?"
"HASH_1E0677A0": "To se uvidí. Jdeme, Carlosi."
"HASH_DBD44DA0": "Ujednáno."
"HASH_F68D27A0": "Hraním skeeballu."
"HASH_BCA08FA0": "Neznáš někoho, kdo pracuje v docích?"
"HASH_44143DA0": "Brácho, zbývá mi ještě spousta bílých míst."
"HASH_8B0F1FA0": "*mluví japonsky*"
"HASH_C22847A1": "Bylo by to mnohem rychlejší..."
"HASH_1E6B9FA1": "Tak mě překvap a pověz mi, jak se zbavíme generála."
"HASH_E89EB9A1": "Jo..."
"HASH_4A3841A1": "Poslouchám."
"BMPLAYER_HIJACKING_FACTORIES_1": "Co se to tu kurva děje?"
"BMPLAYER_DRUG_HOTELS_6": "No ne, nejsi ty ten velký zlý drogový dealer?"
"HASH_EE76D1A1": "No, uvidíme, jak se ukážou a kolik zboží potřebujou a - zatraceně, jsem to ale idiot."
"HASH_70B4D1A1": "Proč po nás Ultoři střílí?"
"WFPLAYER_SNATCH_DTOWN_5": "Ne, já jen-"
"HASH_D6ECADA2": "My se známe?"
"HASH_8149D1A2": "Pane Akudži!"
"HASH_9DDE83A3": "Už nepůjčuješ prachy?"
"HASH_F40C65A3": "Chci jenom něco zapálit, nemusíš mi prodávat."
"HASH_510403A3": "Tohle je naše město... děláme si sakra, co chceme..."
"HASH_D59295A3": "Tohle není žádnej zatracenej špiónskej film, Carlosi. Můžeš se otočit?"
"BMPLAYER_ESCORT_SUBURBS_4": "A proč to neuděláš?"
"HASH_B64BC3A3": "Jak se vede?"
"WFPLAYER_FRAUD_MUSEUM_3": "Dobře."
"HASH_9B93B9A4": "Udělat co?"
"HASH_19A0E9A4": "Sakra!"
"HASH_BF3E1FA4": "Zrovna jsem s tím chtěl uhnout, pane Muellere, jsem velký fanda."
"HMPLAYER_FUZZ_PROJ_2": "Jakej vliv?"
"HASH_78BDF9A4": "Tak už kurva chcípni!"
"HASH_E75E7BA4": "Ano."
"HASH_683821A5": "Těžce dýchá"
"HASH_2AA6BFA5": "Na tom nezáleží, plán je takový: Pierce a Shaundi vyrazí do ulic a zničí co nejvíc věcí Ultoru. Jestli po nás chce Ultor jít, tak fajn, ale bude je to stát pěknej balík. Gat půjde se mnou do pyramidy."
"HASH_A3DF21A5": "Určitě... uvidíme se doma."
"HASH_6CCDBBA5": "Kurva!"
"HASH_274B69A5": "Hm, takže je to fuk, ne?"
"HASH_220EF7A5": "Skonči to."
"LEE_FUZZ_PROJECTS_5": "K mužům v uniformě totiž chovám nezměrnej respekt."
"HASH_47EB63A5": "Dane, tvůj projekt sice má jisté výsledky, rada je však poněkud znepokojena."
"WFPLAYER_CC_SUBURBS_1": "Co má tohle-"
"HASH_D8CEB7A6": "Uděláš nějakou prácičku pro veřejné blaho..."
"HASH_EAA207A6": "Vypadá to tu úplně jinak, když to tu zrovna nevykrádám."
"HASH_9DDE23A6": "Vlastnoručně jsem ho podříznul."
"HASH_927031A6": "Jo."
"BMPLAYER_SWEEP_REDLIGHT_4": "Tak zavolej poldy."
"HASH_48F911A6": "Najdeš ho ve starým masokombinátu."
"HASH_55340DA7": "Tak co máš za nabídku?"
"HASH_92A3CBA7": "Sorry, ale neslyšel jsem tě."
"HASH_E8B371A7": "Vlastnoručně jsem ho podříznul."
"HASH_D7BBA1A7": "K věci."
"HASH_55521DA7": "Všude jsem tě hledal, máme vážný... Sakra, to jsou ale pěkný boty."
"HASH_C4462FA7": "Slyšel jsem akorát, že to má připlout lodí... schválně mě do ničeho nezasvěcujou, nechtěj, abych se míchal do jejich problémů."
"HASH_58469BA7": "Jasně, šéfe..."
"HASH_9FC7E7A7": "No, vypadáš trochu divně na to, abys zakládal soukromou armádu, ale mám tu pár hraček, co se ti určitě budou líbit."
"HASH_353A6DA8": "Chci jenom něco zapálit, nemusíš mi prodávat..."
"HASH_B60265A8": "Radioaktivní..."
"HASH_024E01A8": "Já se na to díval.."
"HASH_1AFDA1A8": "To je klasika."
"HMPLAYER_SWEEP_SUBURBS_2": "Ty si vážně myslíš, že si lidi budou kupovat baráky v místech, který jsou plný sraček?"
"HASH_14A49DA8": "Tohle není žádnej zatracenej špiónskej film, Carlosi. Můžeš se otočit?"
"HASH_B0EA0DA8": "Přesně tak."
"JAVIER_SWEEP_SUBURBS_3": "No, ve Stilwateru se levný bydlení hledá fakt blbě."
"HASH_E68D27A8": "Zavolal někdo šéfa?"
"HASH_C9A191A9": "O čem to mluvíš?"
"HASH_C3608FA9": "Správně, protože ty jsi jako moje neteř. Vypadni."
"HASH_DE3AC1A9": "To dává smysl."
"HASH_26EBB7A9": "Akudži a já, to by bylo na dlouhý povídání. A s jeho synem jsem taky měl pár nevyřízených účtů."
"HASH_0C5F6BA9": "Pierce už zase žvaní nesmysly, páč mě je jedno, co-"
"WFDR_INSFRAUD_MUSEUM_5": "Proboha, jen to ne. Chirurgie je strašně zdlouhavá. Potřebuju, abys předstíral mnohočetná zranění, takže bych tě mohla ošetřit rychleji, než bych to zvládla ve skutečnosti."
"HASH_C48989AA": "Kde je Gat?"
"WFPLAYER_ESCORT_REDLIGHT_3": "Peníze na ruku stačí."
"HASH_534C83AA": "Čas k odchodu?"
"HASH_8B0E49AA": "Poslouchám."
"HASH_945B89AA": "Maero, je mi to tak líto..."
"HASH_BE3291AA": "Otče... já..."
"HASH_FBEA93AA": "Cože, nebudeme vyhazovat sračky do povětří na veřejnosti?"
"HASH_1223DDAA": "Nevím, ale už se těším, až to zjistím."
"HASH_488721AA": "Ty mu říkáš zrádce, já zas milionář."
"HASH_02AA89AA": "No, myslím že to je ono."
"HASH_0C14B5AA": "Ohromující. Zkrátka ohromující. Já... myslím, že si Ultor zaslouží další potlesk."
"HASH_53DC0BAA": "Všichni jsme si mysleli, že je po tobě."
"WFPLAYER_SWEEP_REDLIGHT_4": "Tak zavolej poldy."
"HASH_B1E4DBAB": "Kde je Gat?"
"HASH_9DF9FFAB": "No jo."
"HASH_37BB2FAB": "Hraním skeeballu."
"HASH_7D9687AB": "Neznáš někoho, kdo pracuje v docích?"
"HASH_887071AB": "Skoro."
"HASH_3C7863AB": "Co kurva myslíš tím \"nelam si s tim hlavuj\", dyk tihle chlapi maj ty nejmodernější sračky."
"HASH_B5E24FAB": "Když vezmeš, co se stalo tvý holce a tvýmu gangu, řek bych, že prostě přitahuješ tragédie, Maero."
"HASH_36A4FDAC": "Tetoval jsi Maera pěkně dlouho a ani jednou jsi ho za tu dobu neslyšel mluvit s Jessicou o zásilce?"
"WFPLAYER_DRUG_HOTELS_2": "To si děláš prdel."
"HASH_5395C3AC": "Sorry, ale neslyšel jsem tě."
"HASH_940205AC": "Tak co máš za nabídku?"
"HASH_325167AC": "Kde to jsem?"
"HMPLAYER_ESCORT_REDLIGHT_3": "Prachy jsou fajn."
"HASH_0577C1AC": "Jdi do hajzlu, Gate."
"HASH_97126DAC": "Óooo."
"HASH_19F8BFAD": "Uděláš nějakou prácičku pro veřejný blaho."
"HFPLAYER_DRUG_HOTELS_2": "To si děláš prdel."
"HASH_1C4063AD": "Musíme to tady vyčistit."
"HASH_473C35AD": "Kde to jsem?"
"HASH_27BBEDAD": "Co je to?"
"HASH_4F8F93AD": "To jo."
"LUZ_DRUGTRAFFIC_HOTELS_2": "Proč se divíš?"
"HASH_D732BDAE": "To je v pořádku, Pierci. "
"WFPLAYER_ESCORT_SUBURBS_4": "Proč to neuděláš?"
"HMPLAYER_DERBY_ARENA_1": "Prosím?"
"HASH_C2A951AE": "No, jelikož on je mrtvý a ty ne, nejspíš je to kurva dobrý."
"HASH_F4F703AE": "Tohle není žádná zatracená gangsterská klubovna!"
"BFPLAYER_DRUG_AIRPORT_2": "Tak co potřebuješ, abych udělal?"
"WMPLAYER_DERBY_ARENA_1": "Prosím?"
"HMPLAYER_FRAUD_MUSEUM_6": "Jen to zkouším."
"HMPLAYER_FUZZ_SUBURBS_2": "Pořád nechápu."
"HASH_DE115BAF": "Čas letí rychle, když koukáš na někoho, kdo dýchá trubičkou."
"HASH_A8CFA1AF": "Nebudu si srát do vlastního hnízda."
"HASH_88C42DAF": "To nevíš, že k vedení trocha toho násilí patří?"
"HASH_467161AF": "To je fakt, ale tahle díra má svý možnosti."
"HASH_C42FCFB0": "Proboha, tak už kurva chcípni..."
"HASH_CECC55B0": "To je ta ulice?"
"HASH_EEB40DB0": "Ok, a koho to zajímá?"
"HASH_A532DFB0": "Sakra!"
"HMPLAYER_SNATCH_DTOWN_4": "Ještě ten ma-"
"HASH_C40D4BB0": "Co se to tu kurva děje?"
"HASH_D95705B0": "Měli tě poslouchat."
"HASH_D2FE07B0": "Co je, Shogo?"
"WFDR_INSFRAUD_MUSEUM_1": "Jsem ráda, že tě konečně poznávám."
"HASH_9BD95FB1": "Ok, a koho to zajímá?"
"HASH_B1429DB1": "Proboha, tak už kurva chcípni..."
"HMPLAYER_SNATCH_CTOWN_1": "To jako pro dnešek končíš?"
"HASH_1D9065B1": "To já vlastně Svatý vedu."
"HASH_13C959B1": "A to je?"
"HASH_B787C9B1": "Vykuř to."
"HASH_9A943BB2": "Tak do hajzlu říkáš?"
"HASH_30D6EBB2": "Po koncertu Feed Dogs jsem ti volal, ať se koukneš do doků, a tys řík-"
"HASH_1773ABB2": "Je to pěkná prdel světa."
"HASH_019937B2": "To není moje věc."
"HASH_B28F8BB2": "Také mě těší, že jsme mohli strávit společné chvíle, ale teď je čas jít dál. Pánové, mohli byste prosím našemu hostu ukázat cestu ven?"
"HASH_86CF59B3": "Jak to, že jsi šel k Roninům a ne za náma?"
"HFPLAYER_SWEEP_SUBURBS_2": "Vážně si myslíš, že lidi budou chtít kupovat domy, když bude celý okolí postříkaný sračkama?"
"HASH_542147B3": "Vlastnoručně jsem ho podříznul."
"HASH_8C638DB3": "A kde je teda tvoje parta?"
"HASH_93364DB3": "Dyk mi drželi bouchačku u hlavy, tak co jsem měl dělat?"
"HASH_4FEAE5B3": "No tohle je skvěle namazaný stroj."
"HASH_0B7971B3": "Takže, Dane, řada liberálů..."
"HASH_62A979B3": "Zlikviduj Svatý, nebo bude výpověď to nejmenší, z čeho si budeš muset dělat hlavu."
"HASH_67467BB4": "Ujednáno."
"HASH_1E957BB4": "To je milé, Donnie, taky jsi mi chyběl..."
"HFPLAYER_DRUG_HOTELS_6": "No ne, nejsi ty ten velký zlý drogový dealer?"
"HASH_2FDAA7B4": "Jsem v pohodě, Shaundi... najednou už mi Bratrstvo takové starosti nedělá."
"HASH_1B2DA7B4": "Carlos mi pomohl zdrhnout z lapáku, vypadá jako dobrej kluk, ale budem potřebovat víc lidí... co říkáš?"
"HASH_A31207B4": "Sklapni a poslouchej. Gat se zajímal o japonskýho bose Akudžiho, co se brzy objeví ve městě, a já chci vědět, kdy to bude."
"HASH_4051F1B4": "Kdo sakra jsi?"
"HASH_20D629B4": "Jo."
"HASH_D794FBB4": "Tak mě překvap a prozraď mi, jak toho generála můžem sundat."
"LUZ_DRUGTRAFFIC_HOTELS_6": "Víš co? Jdi se vycpat."
"HASH_DE90FBB4": "Kde jsou sakra chlapi s autem?"
"HASH_4A146FB4": "Byl u Svatých dlouho. Fakt je tak těžký uvěřit, že se lidem nezdá, když ho chtějí povýšit na policejního ředitele?"
"WFPLAYER_DRUG_HOTELS_6": "No ne, nejsi ty ten velký zlý drogový dealer?"
"HASH_122B29B5": "Ujednáno."
"HASH_D67F55B5": "Mlč a poslouchej. Gat hledal šéfa japonskýho podsvětí, který si říká Akudži. Ten se má prej brzo objevit ve městě a já chci vědět, kdy to bude."
"HASH_353CA3B5": "Kdo kurva jsi?"
"HASH_7EBA71B5": "Mělo by to bejt o dost rychlejší."
"BMPLAYER_PIRACY_DOCKS_3": "Co to blábolíš? Zbraně? Drogy?"
"HASH_907FA9B5": "Ale to nemusíš."
"HASH_9530EBB5": "Snažím se ti pomoct!"
"HASH_6107C9B6": "Dobrá, vy dva o tom místě zjistíte, co se dá. Chci ty zmetky dostat."
"HASH_239957B6": "Skvělý."
"HASH_46A869B6": "Víte, do týhle chvíle jsme si s Maerem jen tak hráli - tuhle jsme zabili jeho kurvu, tamhle jsme mu čmajzli prachy... ale teď už mám toho hraní dost. Víme, kde bydlí, máme jeho bouchačky, a tak říkám, že teď tomu hajzlovi zakroutíme krkem, co vy na to?"
"HMPLAYER_FRAUD_MUSEUM_2": "Možná se s ničím nepářu, ale neřekl bych, že dokážu změnit, co si celá branže myslí o pohlaví."
"HASH_AFA265B6": "Ještě ne."
"HASH_822FC7B6": "Toby!"
"HASH_2391C7B7": "Náš odvoz."
"BFPLAYER_ESCORT_REDLIGHT_1": "Víš, co stojí vedení gangu prachů? Musím se postarat, aby se nějaký začaly sypat."
"HASH_DB3CD1B7": "Jo."
"HASH_5A2717B7": "Za pár minut to uvidíš na vlastní oči."
"HASH_D58CADB7": "Ne, ale vím, kde se dá jedna ukrást."
"HASH_275879B8": "Tohle je naše město. Děláme si sakra, co chceme..."
"HASH_C54583B8": "ehm..."
"WFPLAYER_FIGHT_UNIV_4": "Doprdele, možná bych tě mohl nahradit."
"BFPLAYER_FIGHT_PRISON_4": "Pletky s dcerou ředitele vězení?"
"HASH_EFF37DB8": "Mě to zajímá. Maero to chce, a proto to seberu já."
"HASH_4D5585B8": "A kde je teda tvoje parta?"
"BMPLAYER_HIJACKING_FACTORIES_5": "Správně, protože ty seš jako moje neteř. Vypadni."
"BMPLAYER_DRUG_HOTELS_2": "To si děláš prdel."
"HASH_E91B15B8": "Kam se ženeš?"
"HASH_AF1A65B8": "Pohřeb?"
"HASH_B028D1B9": "ehm..."
"HASH_1DB719B9": "Kdes tyhle lidi vyhrabal?"
"HASH_FBAE03B9": "Kde to jsem?"
"HASH_C0AF3FB9": "Do toho mi nic není."
"HASH_F1E0E3B9": "Po koncertu Feed Dogs jsem ti volal, ať se mrkneš do doků, a tys řík-"
"HASH_A37669B9": "Nejspíš."
"HASH_4379F9B9": "No jasně že jo."
