"DROP_SPHERE": "DÁT SPHERE"
"STAT_STREAKING_TOTAL_TIME": "ČAS STRÁVENÝ JAKO NAHÁČ"
"STAT_FAVORITE_TRANSPORTATION": "OBLÍBENÝ DOPRAVNÍ PROSTŘEDEK"
"ESCORT_NAME_29A": "VLÁDNOUCÍ"
"DROP_NFORCER": "DÁT NFORCER"
"DROP_CONDOR": "DÁT CONDOR"
"GIVE_DRONE": "DÁT SONDU REAPER"
"PURCHASEABLE_PROPERTEY_BROTHEL": "HARANOVA SEZNAMKA"
"PURCHASE_TATTOOS_NAME": "KOUPIT TETOVÁNÍ"
"VEHICLE_COLOR_BASIC": "POKROČILÁ"
"MENU_TITLE_INSUFFICIENT_FUNDS": "NEDOSTATEK PENĚZ"
"STORE_TEXT_INSUFFICIENT_FUNDS_BLANK": "Na tento nákup nemáš dost peněz."
"STAT_TAUNTING_TOTAL_GANG_MEMBERS_TAUNTED": "URÁŽKY GANGSTERŮ"
"STAT_TAUNTING_TOTAL_COMPLIMENTS_GIVEN": "POKLONY"
"ESCORT_NAME_39_B": "MASÍRKA"
"HEAVY_RAIN": "PRŮTRŽ"
"EVIL_CARS": "ĎÁBELSKÁ AUTA"
"STORE_RESPECT": "RESPEKT + {0}"
"STORE_SELECT_BUILD": "VYTVOŘ POSTAVU"
"RUSTY_NEEDLE_NAME": "RUSTY'S NEEDLE"
"STAT_LUCHADORES_KILLED": "ZABITÍ LUCHADOROVÉ"
"STAT_DRIVING_BAILOUT": "KATAPULTY"
"STATS_NONE": "NIC"
"ESCORT_NAME_27A": "ŠÍLEJÍCÍ"
"DEMO_FREEPLAY": "VOLNÁ HRA"
"CONTROL_SCROLL_LIST": "POSUNOUT SEZNAM"
"Gang_Saints": "SVATÍ ZE TŘETÍ ULICE"
"DROP_ANCHOR": "DÁT ANCHOR"
"TIME_SET_MIDNIGHT_DESC": "Nastaví čas na půlnoc."
"GIVE_WEAPON_DESC": "Přidá tuto zbraň do inventáře."
"WPNSTOR_TEXT_CRIB_TAKE_BLANK_FULL": "Chceš si z bejváku vzít předmět \"%s\"?"
"TATTOO_INSUFFICIENT_FULL": "Tetování \"%s\", kterým se pyšní %s, si nemůžeš nechat udělat, protože nemáš dost peněz."
"CUST_BROWSER_TITLE": "PROHLÍŽEČ ÚPRAV"
"HORDE_MODE_QUIT_TEXT": "Opravdu chceš skončit?\n(Tím se kurví režim ukončí pro oba hráče)"
"STAT_MAX_WRONG_WAY_DISTANCE": "NEJDELŠÍ JÍZDA V PROTISMĚRU"
"STAT_PEOPLE_RUN_OVER": "PŘEJETÍ LIDÉ"
"STAT_AERIAL_STUNTS_FOUND": "NALEZENÉ AKROBATICKÉ PRVKY"
"PLAYER_CREATION_ABOUT_TO_REVERT": "Chceš zrušit provedené změny?"
"DROP_VULTURE": "DÁT VULTURE"
"STORE_SKINNY": "HUBENÁ {0}%%%%"
"GARAGE_RETRIEVE_VEHICLE": "VYBRAT"
"COMPLETION_EXIT_STRONGHOLD_CONFIRMATION": "Skutečně chceš ukončit pevnost?"
"GANG_CUST_GANG_SIGN_OPT": "ZNAMENÍ"
"STORE_NOT_AVAILABLE": "NENÍ K DISPOZICI"
"VEHICLE_FREE": "VOLNÝ"
"STAT_COOP_MISSIONS_COMPLETED": "KOOPERATIVNÍ REŽIM: DOKONČENÉ MISE"
"STAT_COMBAT_NUTSHOT_RESPECT": "RESPEKT ZÍSKANÝ ZA ZÁSAHY DO ROZKROKU"
"ESCORT_NAME_25A": "MSTÍCÍ"
"CUST_GANG_NAME_NINJA": "NINJOVÉ"
"GIVE_KOBRA": "DÁT KA-1 KOBRA."
"DROP_PHOENIX": "DÁT PHOENIX"
"EVIL_CARS_2": "ĎÁBELSKÁ AUTA 2"
"COSTUME_NAME": "LET'S PRETEND"
"HAIR_CAT_NONE": "ŽÁDNÉ"
"STAT_PHOTO_OP_FOUND": "FOTOGRAFIE OD FANOUŠKŮ"
"STATS_DISTANCE_METERS": "%0.2fm"
"STAT_HOLDUP_ROBBED": "VYKRADENÉ OBCHODY"
"Max Notoriety Col1_NAME": "NEJLEPŠÍ HRÁČI KLIDU"
"SPActivity": "HRAJE: {C10}  AKTIVITA: {C3}"
"HASH_CC9E7A7D": "TAG SMRTI: CELKOVÝ ČAS"
"PLAYER_CREATION_NEW_PRESET_FULL": "Výběr nové předvolby ovlivní všechny ostatní změny, které jsi už udělal!"
"HUD_SHOP_NO_WEAPONS": "Nemáš žádné zbraně."
"VCUST_TIRES_TITLE": "PNEUMATIKY"
"PURCHASEABLE_PROPERTEY_CHOP": "DAVILA'S AUTOMOTIVE"
"STAT_VEHICLE_WATERCRAFT": "LOĎ"
"STAT_HUMAN_TORCH_BONUS_EARNED": "ŽIVÁ POCHODEŇ: ZÍSKANÝ BONUSOVÝ ČAS"
"STAT_MAX_DRIVER_BAILOUT_DISTANCE": "MAXIMÁLNÍ VZDÁLENOST KATAPULTU"
"ESCORT_NAME_23A": "SMRDÍCÍ"
"RADIO_STATION_KRHYME": "KRHYME"
"MAP_ICON_STAIRS": "HVĚZDY"
"GIVE_ALL_WEAPONS": "ZBRANĚ"
"MENU_OPTION_CANCEL": "ZRUŠIT"
"POC2_UPGRADE_CAR": "UPRAVIT VOZIDLO"
"VCUST_FRONT_AXLE_OPTION": "PŘEDNÍ NÁPRAVA"
"LINGERIE_STORE_NAME": "LEATHER & LACE"
"STORE_WEAPON_STORE_MSG": "NAKOUPIT ZBRANĚ"
"HASH_E632737E": "DOKONČENO PROCENT HRY"
"GIVE_ELECTRIC": "DÁT ELEKTRICKÝ GRANÁT"
"GIVE_CYBERSMG": "DÁT KYBERBLASTER"
"CLEAR_SKIES": "JASNO"
"VARIANT_ALREADY_OWNED": "Tento styl předmětu již vlastníš."
"CRIB_HUD_HANGAR_NAME": "LETECKÝ HANGÁR"
"VCUST_PURCHASE_WHEELS_PROMPT": "Chceš koupit toto nastavení kol za {0} dolarů?"
"PURCHASEABLE_PROPERTEY_HOSPITAL": "NEMOCNICE"
"STAT_MAYHEM_OBJECTS_DESTROYED": "VANDALSTVÍ: ZNIČENÉ OBJEKTY"
"STAT_COMBAT_CAR_RESPECT": "RESPEKT ZÍSKANÝ ZA ZABITÍ VOZEM"
"ESCORT_NAME_21A": "POTÁPĚJÍCÍ SE"
