"DROP_SPHERE": "ДАТЬ СФЕРУ"
"STAT_DRIVING_WHEELIE_RESPECT": "АВТОРИТЕТ ЗА ЗАДНИЕ КОЛЕСА"
"ESCORT_NAME_10A": "СЕРДИТЫЙ"
"ESCORT_NAME_3A": "ОСЛИНЫЙ"
"HASH_646BCE68": "СОВМЕСТНАЯ МЕТА-ИГРА: ПРИЗОВЫЕ ДЕНЬГИ"
"CELL_SUICIDE": "СУИЦИД - ГОРЯЧАЯ ЛИНИЯ"
"CUST_GANG_NAME_SPORTY": "СПОРТИВНЫЙ"
"ADD_COP_NOTORIETY": "ДОБАВИТЬ ПРЕСЛЕДОВАНИЯ ПОЛИЦИИ"
"GARAGE_INSUFFICIENT_FUNDS": "У ВАС НЕ ХВАТАЕТ ДЕНЕГ НА РЕМОНТ ЭТОГО ТРАНСПОРТА"
"STAT_JUMPS_FOUND": "ТРЮКОВЫХ ПРЫЖКОВ НАЙДЕНО"
"CUST_REMOVE_ITEM_TITLE": "УБРАТЬ ПРЕДМЕТ"
"STAT_TIME_AT_MAX_LUCHADOR_NOTORIETY": "ВРЕМЯ МАКСИМАЛЬНОЙ ДУРНОЙ СЛАВЫ У ЛУЧАДОРОВ"
"STAT_TIME_AT_MAX_GANG_NOTORIETY": "ВРЕМЯ МАКСИМАЛЬНОЙ ДУРНОЙ СЛАВЫ У БАНДЫ"
"STAT_FRAUD_LEVELS_COMPLETED": "СТРАХОВОЕ МОШЕННИЧЕСТВО: ВЫПОЛНЕНО"
"STAT_DRIVING_WRONGWAY_TIME": "САМОЕ ДОЛГОЕ ВРЕМЯ НА ВСТРЕЧНОЙ ПОЛОСЕ"
"STAT_HOMIEZ_ACQUIRED": "БРАТКОВ НАЙДЕНО"
"HASH_719A436A": "АВТОРИТЕТ ЗА ПРЫЖКИ НА ПОДВЕСКЕ"
"HORDE_MODE_TITLE_SCORE": "СЧЕТ"
"STAT_DRIVING_BACKSEAT_DISTANCE": "САМОЕ ДОЛГОЕ ДОРОЖНОЕ УБИЙСТВО"
"STAT_DRIVING_WHEEILE_TIME": "САМОЕ ДОЛГОЕ ВРЕМЯ НА ЗАДНИХ КОЛЕСАХ"
"STAT_COMBAT_ONE_HIT": "УБИЙСТВА ОДНИМ УДАРОМ"
"TAXIMAP_FARE": "ПЛАТА ЗА ТАКСИ:"
"CELL_FORGIVE": "FORGIVE AND FORGET"
"HUD_RETRY_MISSION_MESSAGE_FULL": "Выбрав повтор миссии, вы потеряете оружие и авторитет, полученные во время ее выполнения."
"PURCHASEABLE_PROPERTEY_ORGAN_BLACKMARKET": "ЧЕРНЫЙ РЫНОК ОРГАНОВ"
"MAP_ICON_TSS_STRONGHOLD": "КРЕПОСТЬ СВЯТЫХ С 3-Й СТРИТ"
"CELL_PIMP_VAN": "СУТЕНЕРСКИЙ ВЭН"
"BE_ALL_YOU_WANT_TO_BE": "СМЕНИТЬ МОДЕЛЬ РС"
"MUSIC_FUNK": "ФАНК"
"CUST_ICON_TATTOO_LEGS": "ТАТУИРОВКИ НА НОГАХ"
"MUSIC_REGGAE": "РЕГГИ"
"TAXI_LEAVE_FULL": "Вы уверены, что хотите покинуть такси?"
"WPNSTOR_LEAVE_FULL_FRIENDLY_FIRE": "Вы уверены, что хотите покинуть Дружественный огонь?"
"VCUST_REAR_AXLE_OPTION": "ЗАДНЯЯ ОСЬ"
"STORE_TITLE_WITHDRAW": "УЙТИ"
"HORDE_MODE_TITLE_FAIL": "ВОЛНА {0} ПРОЙДЕНА"
"HORDE_MODE_KILL_COUNT": "СЧЕТ УБИЙСТВ"
"STAT_DRIVING_NEARMISS": "МИЛЛИМЕТРАЖИ"
"STAT_DRIVING_BURNOUT": "ПРОБУКСОВКА"
"Human Thrown Distance_NAME": "ЛУЧШАЯ ДИСТАНЦИЯ БРОСКА"
"CONTROL_CHANGE_MODE": "СМЕНИТЬ РЕЖИМ"
"CONTROL_VIEW_GAMER_CARD": "ПОСМОТРЕТЬ КАРТУ ИГРОКА"
"CONTROL_BACK": "НАЗАД"
"CELL_POLICE": "ПОЛИЦИЯ"
"GIVE_SONIC": "ДАТЬ ЗВУКОВОЙ УДАР"
"SUPER_SAINTS_DESC": "Святые - плохие ребята"
"CUST_ICON_WRISTS": "ЗАПЯСТЬЯ"
"MUSIC_METAL": "МЕТАЛЛ"
"MENU_EXPORT_SIGN_IN_FULL": "Войдите в Xbox LIVE под своим логином, \nчтобы экспортировать данные в сетевую игру."
"STORE_LEVEL_REQ": "ТРЕБУЕТСЯ УРОВЕНЬ {0}"
"WPNSTOR_TEXT_MAX_WEAPONS_STORE": "У вас уже есть это оружие"
"ESCORT_NAME_9A": "СКОЛЬЗКИЙ"
"CONTROL_CHANGE_VIEWED_PLAYER": "СМЕНИТЬ ПРОСМАТРИВАЕМОГО ИГРОКА"
"MUSIC_HIPHOP": "ХИП-ХОП"
"DEALER_NO_SPACE": "НЕДОСТАТОЧНО МЕСТА В ГАРАЖЕ ДЛЯ %s"
"Total Gang Kills_NAME": "ВСЕГО УБИТО БАНДИТОВ"
"HASH_937C34EF": "ОЦЕНКА СТИЛЯ"
"VCUST_HUBCAPS_TITLE": "КОЛПАКИ"
"PURCHASEABLE_PROPERTEY_STEEL": "СТАРЫЙ ЛИТЕЙНЫЙ ЗАВОД"
"TAT_REG_FRONT": "ПЕРЕД"
"STAT_TAUNTING_TOTAL_CIVILIANS_TAUNTED": "НАСМЕШЕК НАД ГРАЖДАНАМИ"
"STAT_MILES_BY_BIKE": "МИЛЬ ПРОЕХАНО НА МОТОЦИКЛЕ"
"STAT_ACTIVITY_CASH_EARNED": "ДЕНЕГ ЗАРАБОТАНО ЗА ЗАДАНИЯ"
"ESCORT_NAME_18A": "ГРЯЗНЫЙ"
"CONTROL_BEGIN_GAME": "НАЧАТЬ ИГРУ"
"ADD_COP_NOTORIETY_DESC": "С каждым применением повышает преследование полицией на одну звезду"
"PLAYER_CREATION_QUIT_TO_MAIN_MENU_FULL": "Вы хотите вернуться в Главное Меню?"
"OUTFIT_NAME_ENTRY_DIALOG": "ВВЕДИТЕ ИМЯ СВОЕГО КОСТЮМА"
"WPN_CACHE_EXIT_PROMPT": "Покинуть оружейный тайник.\n\nВы уверены?"
"STORE_FREE": "БЕСПЛАТНО"
"WPNSTOR_TEXT_CRIB_TAKE_BLANK_AMMO": "Хотите взять боеприпасы к \"%s\"?"
"STAT_DRIVING_BACKSEAT": "ДОРОЖНОЕ УБИЙСТВО"
"STAT_DRIVING_TWOWHEELS_RESPECT": "АВТОРИТЕТ ЗА ДВА КОЛЕСА"
"STAT_MAX_STUNT_FALL_DIST": "САМОЕ ПРОДОЛЖИТЕЛЬНОЕ ПАДЕНИЕ"
"STAT_ARRESTS": "КОЛИЧЕСТВО АРЕСТОВ"
"ESCORT_NAME_33B": "БАБОЧКА"
"RADIO_STATION_OFF": "ВЫКЛ."
"CONTROL_EXIT_PURCHASE_TATTOOS": "ПОКИНУТЬ САЛОН ТАТУ"
"MAP_ICON_PIMPING": "ПИЛОТАЖ"
"STAT_DEATHS": "СМЕРТЕЙ"
"Time at Highest Gang Notoriety_NAME": "МАКСИМАЛЬНОЕ ВРЕМЯ ПРЕСЛЕДОВАНИЯ БАНДАМИ"
"MAP_ICON_ESCORT": "ЭСКОРТ"
"RESTORE_WEATHER": "ВЕРНУТЬ НОРМАЛЬНУЮ ПОГОДУ"
"GANG_CUST_GANG_SIGN_TITLE": "СИМВОЛ БАНДЫ"
"IMPRESSIONS_NAME": "ВПЕЧАТЛЕНИЯ"
"STORE_INVENTORY_EMPTY_TITLE": "ИНВЕНТАРЬ ПУСТ"
"GARAGE_DELETE_CONFIRM": "Хотите отказаться от этого транспорта?"
"HORDE_MODE_SURVIVAL_TIMER_TAG": "ВЫЖИЛО"
"STAT_CAT_MOUSE_MOST_ROUND_KILLS": "КОШКИ-МЫШКИ: БОЛЬШЕ ВСЕГО УБИЙСТВ ЗА РАУНД"
"STAT_RPG_SHOTS_FIRED": "ВЫСТРЕЛОВ ИЗ РГ"
"STAT_STREAKING_CASH": "АВТОРИТЕТ ЗА БЕГАНЬЕ ГОЛЫШОМ"
"STAT_TAUNT_RESPECT": "АВТОРИТЕТ ЗА НАСМЕШКИ"
"ESCORT_NAME_31B": "ЯЩЕРИЦА"
"CONTROL_CHANGE_LB_FILTER": "СМЕНИТЬ ФИЛЬТР"
"CONTROL_QUITGAME": "ВЫЙТИ"
"TIME_SET_NOON_DESC": "Сменить время на полдень"
"DROP_CAR_DESC": "Поставить эту машину в гараж"
"DROP_BOOTLEGGER": "ДАТЬ BOOTLEGGER"
"QUIT_GAME_TEXT_FULL": "Вы уверены, что хотите выйти?\n(Все несохраненные данные будут потеряны)"
"GARAGE_REPAIR": "РЕМОНТ"
"STAT_COMBAT_ONE_HIT_RESPECT": "АВТОРИТЕТ ЗА УБИЙСТВА ОДНИМ УДАРОМ"
"STAT_CHOPSHOP_VEHICLES": "МАШИН СОБРАНО"
"Matchmaking": "ПОДБОР ИГРОКОВ"
"DROP_TITAN": "ДАТЬ TITAN"
"SUPER_EXPLOSIONS_DESC": "Взрывы усиливаются в 4 раза"
"BE_ALL_YOU_WANT_TO_BE_DESC": "Выберите, на что или на кого должен быть похож ваш персонаж"
"WPNSTOR_TEXT_REPLACE_BLANK_WITH_BLANK_FOR_CASH_BLANK": "Хотите поменять \"%s\" на \"%s\" за %s?"
"SWITCH_TO_WARDROBE": "ПЕРЕКЛЮЧИТЬСЯ НА ГАРДЕРОБ"
"HUD_CRIB_CHANGE_RADIO_STATION": "СМЕНИТЬ РАДИОСТАНЦИЮ"
"STAT_DRUG_TRAFFICKING_BUYERS_SATISFIED": "НАРКОТРАФИК: ПОКУПАТЕЛЕЙ ОБСЛУЖЕНО"
"STAT_COMBAT_MULTI_RESPECT": "АВТОРИТЕТ ЗА МАССОВЫЕ УБИЙСТВА"
"ESCORT_NAME_37B": "ДУШ"
"Diversion Bronze Stars_NAME": "БРОНЗОВЫЕ ЗВЕЗДЫ ХУЛИГАНСТВА"
"HASH_A166F6F5": "АВТОРИТЕТ ЗА СУТЕНЕРСТВО"
"GARAGE_REPAIR_VEHICLE": "ПОЧИНИТЬ ЗА ${0}"
"VCUST_RIM_NUMBER": "ОБОД #{0}"
"GOTH_NAME": "НИКТО МЕНЯ НЕ ЛЮБИТ"
"HORDE_MODE_WAITING_FOR_HOST": "Ожидание хоста."
"ESCORT_NAME_38_A": "ЗАВОДНОЙ"
"PURCHASEABLE_PROPERTEY_BODEGA": "ЛОМБАРД \"КАРМАННИК\""
"STAT_PISTOL_HIT_PCT": "ПРОЦЕНТ ПОПАДАНИЙ ИЗ ПИСТОЛЕТА"
"STAT_SNATCH_HOS_CLAIMED": "ПИЛОТАЖ. ШЛЮХ НАНЯТО"
"ESCORT_NAME_35B": "ПОГРЕМУШКА"
"WEAR_OUTFIT_TITLE": "НАДЕТЬ КОСТЮМ"
"WARDROBE_REMOVE_OUTFIT_TITLE": "СНЯТЬ КОСТЮМ"
"INFINITE_SPRINT": "БЕСКОНЕЧНЫЙ БЕГ"
"NO_COP_NOTORIETY": "НЕТ ПРЕСЛЕДОВАНИЯ ПОЛИЦИИ"
"STORE_EXIT_WARNING_HEADER": "ВЫХОД"
"CRIB_SAINTSHQ": "УКРЫТИЕ СВЯТЫХ"
"PURCHASEABLE_PROPERTEY_WARF": "СТАЛЬНАЯ ВЕРФЬ ГЕНРИ"
"STAT_STREAKING_TOTAL_TIME": "ОБЩЕЕ ВРЕМЯ ХУЛИГАНСТВА"
"STAT_FAVORITE_TRANSPORTATION": "ЛЮБИМЫЙ СПОСОБ ПЕРЕДВИЖЕНИЯ"
"ESCORT_NAME_29A": "КОРОЛЕВСКАЯ"
"DROP_NFORCER": "ДАТЬ \"ЭНФОРСЕР\""
"DROP_CONDOR": "ДАТЬ \"КОНДОР\""
"GIVE_DRONE": "ДАТЬ БЕСПИЛОТНИК \"ЖНЕЦ\""
"PURCHASEABLE_PROPERTEY_BROTHEL": "ВЗАИМОПОМОЩЬ ХАРАНО"
"PURCHASE_TATTOOS_NAME": "ЗАКАЗАТЬ ТАТУ"
"VEHICLE_COLOR_BASIC": "ДОПОЛНИТЕЛЬНОЕ"
"MENU_TITLE_INSUFFICIENT_FUNDS": "НЕДОСТАТОЧНО ДЕНЕГ"
"STORE_TEXT_INSUFFICIENT_FUNDS_BLANK": "У вас не хватает денег, чтобы купить этот предмет"
"STAT_TAUNTING_TOTAL_GANG_MEMBERS_TAUNTED": "НАСМЕШЕК НАД ЧЛЕНАМИ БАНДЫ"
"STAT_TAUNTING_TOTAL_COMPLIMENTS_GIVEN": "ВСЕГО СДЕЛАННЫХ КОМПЛИМЕНТОВ"
"ESCORT_NAME_39_B": "ТЕСТО"
"HEAVY_RAIN": "ЛИВЕНЬ"
"EVIL_CARS": "ЗЛЫЕ ТАЧКИ"
"STORE_RESPECT": "АВТОРИТЕТ +{0}"
"STORE_SELECT_BUILD": "ВЫБРАТЬ ТЕЛОСЛОЖЕНИЕ"
"RUSTY_NEEDLE_NAME": "ИГЛА РАСТИ"
"STAT_LUCHADORES_KILLED": "УБИТО ЛУЧАДОРОВ"
"STAT_DRIVING_BAILOUT": "АВАРИЙНЫЙ ПРЫЖОК"
"STATS_NONE": "НЕТ"
"ESCORT_NAME_27A": "БЕШЕНЫЙ"
"DEMO_FREEPLAY": "СВОБОДНЫЙ РЕЖИМ"
"CONTROL_SCROLL_LIST": "ПРОЛИСТАТЬ СПИСОК"
"Gang_Saints": "СВЯТЫЕ С 3-Й СТРИТ"
"DROP_ANCHOR": "ДАТЬ ANCHOR"
"TIME_SET_MIDNIGHT_DESC": "Сменить время на полночь"
"GIVE_WEAPON_DESC": "Добавить это оружие в инвентарь"
"WPNSTOR_TEXT_CRIB_TAKE_BLANK_FULL": "Хотите взять \"%s\" из жилища?"
"TATTOO_INSUFFICIENT_FULL": "У вас не хватает денег, чтобы поместить \"%s\" на %s."
"CUST_BROWSER_TITLE": "НАСТРОЙКИ БРАУЗЕРА"
"HORDE_MODE_QUIT_TEXT": "Вы уверены, что хотите выйти?\n(При этом режим балды закончится для обоих игроков)"
"STAT_MAX_WRONG_WAY_DISTANCE": "МАКСИМАЛЬНАЯ ДИСТАНЦИЯ ПО ВСТРЕЧНОЙ ПОЛОСЕ"
"STAT_PEOPLE_RUN_OVER": "ЛЮДЕЙ ЗАДАВЛЕНО"
"STAT_AERIAL_STUNTS_FOUND": "МИТИНГОВ НАЙДЕНО"
"PLAYER_CREATION_ABOUT_TO_REVERT": "Вы действительно хотите отменить эти изменения?"
"DROP_VULTURE": "ДАТЬ \"ГРИФ\""
"STORE_SKINNY": "ТОЩИЙ {0}%%%%"
"GARAGE_RETRIEVE_VEHICLE": "ЗАБРАТЬ"
"COMPLETION_EXIT_STRONGHOLD_CONFIRMATION": "Вы уверены, что хотите покинуть захват крепости?"
"GANG_CUST_GANG_SIGN_OPT": "СИМВОЛ"
"STORE_NOT_AVAILABLE": "НЕДОСТУПНО"
"VEHICLE_FREE": "БЕСПЛАТНО"
"STAT_COOP_MISSIONS_COMPLETED": "СОВМЕСТНАЯ ИГРА: ВЫПОЛНЕНО МИССИЙ"
"STAT_COMBAT_NUTSHOT_RESPECT": "АВТОРИТЕТ ЗА ВЫСТРЕЛЫ В ПАХ"
"ESCORT_NAME_25A": "ОГНЕННЫЙ"
"CUST_GANG_NAME_NINJA": "НИНДЗЯ"
"GIVE_KOBRA": "ДАТЬ KA-1 КОБРА"
"DROP_PHOENIX": "ДАТЬ PHOENIX"
"EVIL_CARS_2": "ЗЛЫЕ ТАЧКИ 2"
"COSTUME_NAME": "ДАВАЙ ПРИТВОРИМСЯ"
"HAIR_CAT_NONE": "НЕТ"
"STAT_PHOTO_OP_FOUND": "ФОТОСЕССИЙ НАЙДЕНО"
"STATS_DISTANCE_METERS": "%0.2fм."
"STAT_HOLDUP_ROBBED": "МАГАЗИНОВ ОГРАБЛЕНО"
"Max Notoriety Col1_NAME": "СПИСКИ ЛИДЕРОВ ПРЕСЛЕДОВАНИЯ"
"SPActivity": "ИГРАЕТ В {C10} ЗАДАНИЕ: {C3}"
"HASH_CC9E7A7D": "СМЕРТЕЛЬНЫЙ ЗНАК: ВРЕМЕНИ В ИГРЕ"
"PLAYER_CREATION_NEW_PRESET_FULL": "Выбор новой установки по умолчанию отменяет все внесенные изменения!"
"HUD_SHOP_NO_WEAPONS": "У вас нет оружия."
"VCUST_TIRES_TITLE": "ШИНЫ"
"PURCHASEABLE_PROPERTEY_CHOP": "АВТОМОБИЛИ ДАВИЛЫ"
"STAT_VEHICLE_WATERCRAFT": "СУДНО"
"STAT_HUMAN_TORCH_BONUS_EARNED": "ПУТЬ ОГНЯ: БОНУСНОЕ ВРЕМЯ"
"STAT_MAX_DRIVER_BAILOUT_DISTANCE": "МАКСИМАЛЬНАЯ ДИСТАНЦИЯ АВАРИЙНОГО ПРЫЖКА"
"ESCORT_NAME_23A": "ПЛОТСКИЙ"
"RADIO_STATION_KRHYME": "KRHYME"
"MAP_ICON_STAIRS": "СТУПЕНЬКИ"
"GIVE_ALL_WEAPONS": "ОРУЖИЕ"
"MENU_OPTION_CANCEL": "ОТМЕНА"
"POC2_UPGRADE_CAR": "ИЗМЕНИТЬ МАШИНУ"
"VCUST_FRONT_AXLE_OPTION": "ПЕРЕДНЯЯ ОСЬ"
"LINGERIE_STORE_NAME": "ШНУРОВАННАЯ КОЖА"
"STORE_WEAPON_STORE_MSG": "КУПИТЬ ОРУЖИЕ"
"HASH_E632737E": "ПРОЙДЕНО ИГРЫ"
"GIVE_ELECTRIC": "ДАТЬ ЭЛЕКТРОГРАНАТЫ"
"GIVE_CYBERSMG": "ДАТЬ КИБЕРБЛАСТЕР"
"CLEAR_SKIES": "ЧИСТОЕ НЕБО"
"VARIANT_ALREADY_OWNED": "У вас уже есть этот стиль для этой вещи."
"CRIB_HUD_HANGAR_NAME": "САМОЛЕТНЫЙ АНГАР"
"VCUST_PURCHASE_WHEELS_PROMPT": "Хотите купить набор колес за ${0}?"
"PURCHASEABLE_PROPERTEY_HOSPITAL": "ГОСПИТАЛЬ"
"STAT_MAYHEM_OBJECTS_DESTROYED": "РАЗГРОМ: ПРЕДМЕТОВ УНИЧТОЖЕНО"
"STAT_COMBAT_CAR_RESPECT": "АВТОРИТЕТ ЗА УБИЙСТВО МАШИНОЙ"
"ESCORT_NAME_21A": "КОРИЧНЕВЫЙ"
