"DROP_SPHERE": "GEEF BOL"
"ESCORT_NAME_25A": "WREKENDE"
"CUST_GANG_NAME_NINJA": "NINJA'S"
"GIVE_KOBRA": "GEEF KA-1 KOBRA"
"DROP_PHOENIX": "GEEF PHOENIX"
"EVIL_CARS_2": "SLECHTE AUTO'S 2"
"COSTUME_NAME": "LET'S PRETEND"
"HAIR_CAT_NONE": "GEEN"
"STAT_PHOTO_OP_FOUND": "GEVONDEN FOTOGELEGENHEDEN"
"STATS_DISTANCE_METERS": "%0.2fm"
"STAT_HOLDUP_ROBBED": "WINKELS OVERVALLEN"
"Max Notoriety Col1_NAME": "BERUCHTHEID LEADERBOARD"
"SPActivity": "ALLEEN SPELEN {C10} ACTIVITEIT: {C3}"
"HASH_CC9E7A7D": "DODENLABEL: TIJD BESTEED"
"PLAYER_CREATION_NEW_PRESET_FULL": "Door een nieuwe instelling te kiezen zullen andere wijzigingen die je al hebt gemaakt ook veranderen!"
"HUD_SHOP_NO_WEAPONS": "Je hebt geen wapens."
"VCUST_TIRES_TITLE": "BANDEN"
"PURCHASEABLE_PROPERTEY_CHOP": "DAVILA'S AUTOMOTIVE"
"STAT_VEHICLE_WATERCRAFT": "VAARTUIG"
"STAT_HUMAN_TORCH_BONUS_EARNED": "SPOREN ACHTERLATEN: BONUSTIJD VERDIEND"
"STAT_MAX_DRIVER_BAILOUT_DISTANCE": "MAXIMALE AFSTAND CHAUFFEUR SMEERT 'M"
"ESCORT_NAME_23A": "STINKENDE"
"RADIO_STATION_KRHYME": "KRHYME"
"MAP_ICON_STAIRS": "TRAP"
"GIVE_ALL_WEAPONS": "WAPENS"
"MENU_OPTION_CANCEL": "ANNULEREN"
"POC2_UPGRADE_CAR": "VOERTUIG AANPASSEN"
"VCUST_FRONT_AXLE_OPTION": "VOORAS"
"LINGERIE_STORE_NAME": "LEATHER & LACE"
"STORE_WEAPON_STORE_MSG": "KOOP WAPENS"
"HASH_E632737E": "PERCENTAGE SPEL VOLTOOID"
"GIVE_ELECTRIC": "GEEF ELEKTRISCHE GRANAAT"
"GIVE_CYBERSMG": "GEEF CYBERBUSTER"
"CLEAR_SKIES": "HELDERE LUCHT"
"VARIANT_ALREADY_OWNED": "Je hebt dit voorwerp al in deze stijl."
"CRIB_HUD_HANGAR_NAME": "VLIEGVELDHANGAR"
"VCUST_PURCHASE_WHEELS_PROMPT": "Wil je deze wielinstellingen kopen voor ${0}?"
"PURCHASEABLE_PROPERTEY_HOSPITAL": "ZIEKENHUIS"
"STAT_MAYHEM_OBJECTS_DESTROYED": "CHAOS: AANTAL VOORWERPEN VERNIELD"
"STAT_COMBAT_CAR_RESPECT": "RESPECT VERDIEND DOOR MENSEN DOOD TE RIJDEN"
"ESCORT_NAME_21A": "DUIKENDE"
