# TODO: Translate to Simplified Chinese
# Source: customize_us.txt
# Format: "KEY": "Chinese translation"
# Total entries: 2702

"HASH_F5497400": "极度不合逻辑"
"HASH_BAB71975": "圣徒连帽衫（帽合上）"
"HASH_02F45175": "浅棕"
"HASH_2A0C8176": "船长裤"
"HASH_3E32E976": "浣熊眼"
"HASH_F9B6B377": "瞄具倍率"
"HASH_6EC1BD77": "青蓝金属"
"HASH_C3E53177": "性感小猫面具"
"HASH_60937F77": "哥特高定"
"HASH_EA9F7F77": "枢机红"
"HASH_33748978": "蓬巴杜"
"HASH_4AE05D78": "莉兹"
"HASH_372CF978": "比基尼晒痕，短裤"
"HASH_99E2C979": "未来已至。而且是紫色的。"
"HASH_0F90E579": "上背"
"HASH_B7954779": "淤青梅紫"
"HASH_42FF4779": "湿身时刻泳裤"
"HASH_5411CB79": "浑身穿孔"
"HASH_A1F2F379": "被误解项圈"
"cm_ubdy_vnecksweat": "修身V领"
"HASH_76E27379": "埃及祭司"
"HASH_DDB51F79": "橙色 8"
"HASH_F066A97A": "上唇中部高低"
"HASH_87C9617A": "随机"
"HASH_75F1AD7A": "选项 2"
"HASH_4CF7D57A": "桌面灰"
"HASH_59F5AB7A": "赛艇蓝"
"HASH_8E11897A": "Astro A40 圣徒耳机"
"HASH_E229D17A": "女式罚球球衣"
"HASH_B3901D7A": "皮肤 01"
"HASH_7DEA0F7B": "镀金"
"HASH_419BF37B": "风格"
"HASH_6F7BCB7B": "亮面"
"HASH_CFF2AD7B": "背心"
"cm_hat_postapocman": "末世护目镜"
"HASH_25EEBB7B": "暗藏王牌"
"HASH_1A6C237C": "时尚大衣配马甲"
"cm_suit_m_hero2": "通用英雄套装"
"HASH_A371F77C": "EVA头盔"
"cm_hat_bountyhunter": "赎金收缴者头盔"
"HASH_C7C9C17C": "量产"
"HASH_D4202F7D": "原初的“枪里开派对”"
"HASH_4034817D": "非裔 5"
"HASH_7C2B1F7D": "前挡泥板"
"cm_suit_bountyhunter": "赎金收缴者套装"
"HASH_3BB06D7D": "下巴带须"
"HASH_5A344B7D": "紫红 3"
"HASH_943CE77D": "棕色 2"
"HASH_33B7CF7E": "优雅地把它们吸个干净。"
"HASH_D5AF4F7E": "摔跤手士兵"
"HASH_C586AF7E": "亮黄"
"HASH_3FD0117E": "骨纹"
"HASH_6245397F": "子弹现在命中即爆。"
"HASH_B8F96D7F": "红色格纹"
"HASH_892A737F": "全美风"
"HASH_EBC3117F": "拉美裔 2"
"HASH_BCBBBF7F": "悲伤入骨连帽衫"
"cm_hair_70smaleshort": "迪斯科商人"
"HASH_07767B7F": "分裂人格"
"HASH_85BDBF80": "这是把专爆紫人的枪。"
"cm_hat_80sbandana": "钵卷"
"cm_foot_postapocman": "末世靴"
"HASH_B72DD581": "就像老式黑帮电影。"
"HASH_02587581": "年龄"
"HASH_EDF5CD81": "轮辋套组 13"
"HASH_2D4F3B81": "K12 97.6"
"HASH_4C377381": "淘气女孩手套"
"HASH_5B996782": "嘴角高低"
"HASH_81DA9B82": "双臂"
"HASH_2DCBD382": "青铜"
"cm_foot_benking": "金式便鞋"
"HASH_098DD982": "蓝紫 4"
"HASH_DDACEF82": "下身"
"HASH_07FEE583": "河神"
"Gang_Customization": "帮派自定义"
"HASH_5063E783": "真人秀狂欢裤"
"cf_lbdy_80sskirtleggings": "短裙与紧身裤"
"HASH_5BFE7583": "部落花纹"
"HASH_D067C583": "第三街圣徒"
"HASH_87B2E783": "绿色 8"
"HASH_3EFAB184": "澳式迷彩"
"HASH_6010EF84": "你有意见？"
"HASH_CACCB784": "街区派对时间到。"
"HASH_2AB28D84": "双下巴深度"
"HASH_C9C6C184": "眉骨"
"HASH_8BEC5384": "鼻尖高低"
"HASH_D6A18B84": "微醺"
"HASH_F704CF84": "白人 4"
"cm_suit_team6body": "零圣徒三十"
"cm_hair_highponytail_01": "高马尾提拉"
"HASH_4F645F84": "亮粉"
"HASH_CC69BB85": "跳跃鞋"
"HASH_1C0E1D86": "下颌高度"
"HASH_FE604B86": "亚洲 5"
"HASH_519CEB86": "贴花 9"
"HASH_7B0A7B86": "染色 80%%"
"HASH_505B4586": "兄弟会"
"HASH_17EFCF87": "耳朵高度"
"HASH_86906987": "头顶"
"HASH_CB3E6F87": "布"
"HASH_385E1587": "蓝色 9"
"HASH_629BAD88": "三人组"
"HASH_F60D5188": "街头客"
"HASH_8AA8BD89": "有人贴得太近、太亲密了。"
"HASH_C7436F89": "ZinTek T.R.P.R."
"HASH_EC23A989": "饰条 2"
"HASH_4C755589": "轰炸机夹克"
"HASH_1F0AA989": "封王"
"HASH_3046218A": "如果你真在用这把武器，我们向你致敬！"
"HASH_2B5A0D8A": "声波枪"
"HASH_DDB2698A": "KARDAK激光弹"
"HASH_764F358A": "鼻子深度"
"HASH_CB788B8A": "混战格斗臂甲"
"HASH_87DCFF8B": "眉距"
"HASH_6628278B": "右下臂"
"HASH_5B76138B": "街头营生"
"HASH_17F8A98B": "迷彩七分裤"
"HASH_F9FE9B8B": "门环须"
"HASH_B36E4D8C": "武器的火焰喷射器射程更长"
"HASH_74C1BB8C": "用成灾的爆炸青蛙雨点般砸向你的敌人！"
"HASH_D21AE78C": "嘴型"
"HASH_79E0F98D": "三拍男郎"
"HASH_2BB4BF8D": "荧光长裤"
"cm_suit_f_hero": "钢埠女英雄套装"
"HASH_E552C38D": "眼睛"
"HASH_BF1B218E": "备胎"
"HASH_E69AA58E": "深紫金属"
"HASH_DE7FCB8E": "现代"
"male_obese": "男·肥胖"
"HASH_EBBA8B8E": "夜刃"
"HASH_0C737F8E": "迪斯科狂热衬衫"
"HASH_3A9E338E": "Z 风耳环"
"HASH_55624B8E": "狼之魂"
"HASH_2CEA298E": "黄色 1"
"HASH_37BAD38F": "典雅项链"
"HASH_CF15658F": "都市长裤"
"HASH_E01A3B8F": "糖果小孩墨镜"
"HASH_4DCAC18F": "山丘休闲 T"
"HASH_0C82DF8F": "丝带发箍发型"
"HASH_78AA618F": "方块腿甲"
"HASH_CC6A278F": "紫罗兰 2"
"HASH_0528A190": "硬汉"
"HASH_4D8EED90": "摇滚到底！"
"HASH_6198C390": "给你21世纪的军人风貌"
"HASH_E14B1790": "钢埠卫队制服"
"HASH_84EEFB90": "欧版长裤"
"HASH_F42F1B90": "山丘夹克配马甲"
"HASH_18676D90": "掌舵"
"HASH_F504DF91": "酸蚀弹药"
"HASH_53240F91": "非裔"
"HASH_DF4B8191": "现代士兵"
"HASH_38476391": "胡茬"
"HASH_445FBF91": "摔跤手"
"HASH_54C0A392": "淡黄染"
"HASH_4C446F92": "芥末绿"
"HASH_5C1BD792": "跳投"
"HASH_FE935F92": "马蹄须"
"HASH_6D5A6B92": "下背"
"HASH_CC49DD93": "浸透大师"
"HASH_70CCE593": "带来轰鸣。"
"HASH_BB603F93": "支配者"
"HASH_C1A96193": "赞美"
"HASH_A508B193": "圣徒狂野丁字裤"
"HASH_CD8F0794": "降低武器后坐力，提升精准"
"HASH_4E381594": "镀金"
"HASH_806F1994": "你能打出多少次跳弹？"
"HASH_4F6B6594": "异形冲击波"
"HASH_56514B94": "脱掉全部衣物"
"HASH_DD92C994": "真爱"
"HASH_C9F9C594": "硬汉机车靴"
"HASH_28641594": "骑士"
"HASH_85480995": "酷毙杀戮"
"HASH_20436595": "投石机"
"HASH_4905A795": "盖特风墨镜"
"HASH_ACF92995": "恶棍运动衫"
"HASH_D3020F95": "紧身超短裤"
"cm_udwr_testtypea": "！！测试内衣A！！"
"cm_lp35c_suit_m_ninja": "紫罗兰忍者"
"HASH_8CD62395": "亮绿"
"HASH_AB9CAF96": "镀金"
"HASH_173DE596": "耳朵长度"
"HASH_FD119D96": "穿着选项"
"HASH_294F6996": "次要表面"
"cf_suit_50sfem": "50年代女童套装"
"HASH_CB07E396": "紫罗兰 6"
"HASH_931C9397": "镀金"
"HASH_3DAD9B97": "旋叶"
"HASH_EFA1A397": "深橙染"
"HASH_0F130597": "森林绿"
"HASH_EE2F9397": "死亡赛靴"
"cf_hair_marcelwave-01": "马塞尔卷"
"HASH_520F8F97": "你熟悉的恶魔"
"HASH_2B87ED97": "黄色 5"
"HASH_BEEF8B98": "狠辣而利落"
"HASH_F3601998": "派对狂人"
"cm_hair_choppybob-01": "层次波波头"
"HASH_1760B798": "太空圣徒"
"HASH_F595BD99": "用此武器击杀现在可获得额外缓存。"
"HASH_CA619F99": "女性默认"
"cm_ubdy_president_vest": "总统套装"
"HASH_7745BF9A": "向目标体内注入炸药与火箭引擎。"
"HASH_C21A7F9A": "下巴宽度"
"HASH_0093219A": "欢呼"
"HASH_50A7E19A": "抹胸配夹克"
"HASH_D70A019A": "机器人桑"
"HASH_36D63F9A": "纯粹"
"HASH_AE27419A": "达利"
"HASH_A587C19B": "好得你配不上"
"HASH_E9BD219C": "休闲连帽衫"
"HASH_EDAFFF9D": "简单。直接。致命。"
"HASH_30F9059D": "既然要让人从世上消失，那就优雅地消失。"
"HASH_C20B259D": "耳朵"
"HASH_657E899D": "马罗鲻鱼头"
"HASH_405A8D9D": "圣徒花连帽衫"
"cf_hair_frenchbraid-02": "双法式辫"
"HASH_7DD9F59E": "J7火箭发射器"
"HASH_F2F1D19E": "迪斯科男跟鞋"
"cm_lp35p_eyes_m_forged": "锻造款"
"HASH_F90D8F9F": "亚洲 1"
"HASH_DBDF419F": "太空黑帮太空服"
"HASH_F301719F": "欢乐时光！上衣"
"tat_neck_fleur": "圣徒花"
"HASH_5736819F": "部落环纹"
"HASH_B37E0BA0": "跳跃距离"
"HASH_F9138BA0": "蓝钢"
"HASH_47EE71A0": "传家宝戒"
"cm_mask_amazonion": "亚马逊面具"
"HASH_CA24BDA0": "伊西斯"
"Default": "默认"
"HASH_54B72BA1": "仁慈"
"HASH_F574EFA2": "安保 1"
"HASH_87FE4DA2": "基础波波头"
"HASH_6B2DE1A3": "阳光心态"
"HASH_583B5DA3": "淡橙染"
"HASH_94393DA3": "徽标平角裤"
"HASH_D365FFA3": "破碎的心"
"HASH_0CF411A3": "莫西干"
"HASH_9E7C8BA4": "星际男"
"HASH_013B03A4": "深蓝"
"HASH_F89927A5": "那真是恶心。"
"HASH_002221A5": "咬龟红"
"HASH_7A049FA5": "左鼻钉"
"HASH_FC73D5A5": "队长靴"
"HASH_9C75CBA5": "休闲皮夹克"
"SPACE SMUGGLER": "淘气浪子"
"HASH_278235A6": "红色 6"
"HASH_1DD895A7": "闪电射击"
"HASH_099375A7": "有效射程"
"HASH_D6B295A7": "接着哭！"
"HASH_F2FC81A7": "返回队列将放弃你当前的设置。\n确定要这么做吗？"
"HASH_604B5DA7": "银河鸽灰"
"player_lips": "口红"
"HASH_1C82F1A7": "私家侦探耳环"
"HASH_ACC561A7": "疣 3"
"HASH_96FDAFA8": "双下巴高度"
"HASH_3E9117A8": "一抹蓝"
"HASH_CF5C1BA8": "熏蒸器 3000"
"HASH_83EDF9A8": "巴黎猫步夹克"
"HASH_4B5DD9A8": "作战裤"
"HASH_A7E153A8": "都市狩猎低领"
"cm_hair_50sgreaser": "油头哥"
"HASH_8E04ABA8": "绿色 4"
"HASH_EC5593A9": "上唇侧高低"
"HASH_4AB54FA9": "你已达到可选择项的数量上限。"
"HASH_897877A9": "精瘦款"
"HASH_AB5C49A9": "放马过来吧兄弟"
"female_athletic": "女·健美"
"HASH_5AD607A9": "重磅紧身裤"
"HASH_905A03A9": "渔夫帽"
"HASH_320F0FA9": "脏辫双尾"
"HASH_003B95A9": "蓝紫 8"
"HASH_1F3625AA": "黑巴特"
"HASH_D56A3FAA": "做个恶棍，或者只是看起来像。"
"HASH_F8EE7BAA": "双下巴宽度"
"HASH_2DB7FFAA": "鼻梁高低"
"HASH_E028F7AA": "货箱改装"
"HASH_97B8EFAA": "军人短发"
"HASH_F1D913AA": "都市狩猎 T 恤"
"HASH_EDEA03AB": "亮出身份。"
"HASH_DC02A1AB": "CUMIA马格南"
"HASH_DDDEFBAB": "枕头公主"
"HASH_4CA279AB": "查兹米色"
"HASH_61E6C1AB": "糖果橙"
"cm_hair_revolutionary": "革命发型"
"HASH_3693BDAB": "蓝绿 3"
"HASH_703EAFAC": "哎，小伙，这把格纹枪可真漂亮。"
"cf_hair_longstraight-03": "姬发式"
"HASH_E67035AC": "红橙 3"
"HASH_31E859AC": "蓝色 5"
"HASH_0BF841AD": "蒸汽朋克"
"HASH_FB700DAD": "镀金"
"HASH_6EBAE5AD": "女孩力量，宝贝！"
"HASH_582AA7AD": "贴花 5"
"HASH_C73387AD": "橙色金属"
"HASH_7AD387AD": "蓝波"
"HASH_4393DFAD": "圣徒鸢尾戒指"
"HASH_394CE9AD": "摇滚唇环"
"cf_ubdy_hillstshirt": "无袖肩上衣"
"HASH_039765AD": "亮橙"
"HASH_96AA31AE": "时髦蒸汽朋克"
"HASH_A2F515AE": "骷髅手套"
"HASH_485611AF": "造型帅气的武器，老兄。"
"HASH_E9661DAF": "氮气"
"HASH_CED2AFAF": "下一位深空航行者"
"HASH_480977B0": "眉头高低"
"HASH_AC318DB0": "你怕了？"
"HASH_3BDA8DB0": "新潮现代"
"HASH_A08C97B1": "都市猎装有领款"
"cf_hair_funbob-01": "趣味波波头"
"HASH_A7910DB1": "法式须"
"HASH_95D161B1": "大伤疤 4"
"HASH_A5055FB2": "过度膨胀的敌人爆炸时现在会波及附近其他人。"
"HASH_57F55DB2": "整装待发，准备大干一场"
"HASH_DAB33FB2": "才不"
"HASH_CF4C1BB2": "冷洗蓝"
"cm_hair_mohawkshort": "短莫西干"
"HASH_31FE79B2": "蓝绿 7"
"HASH_8ED50DB3": "用声音的力量摧毁敌人！"
"HASH_58560FB3": "升级保险杠耐久度，就能对挡路的任何东西造成毁灭性伤害。"
"HASH_66E187B3": "食尸鬼笑"
"HASH_104689B4": "下巴深度"
"HASH_5F4763B4": "贴花 1"
"HASH_7F888BB4": "深灰"
"cf_hat_amazontiara": "亚马逊后冠"
"HASH_9E512BB4": "文胸"
"HASH_DBFB55B5": "假装一下"
"HASH_8DC8F3B5": "整个左腿"
"HASH_84A495B5": "饰条"
"HASH_481367B5": "男模衬衫"
"HASH_AA919FB5": "圣徒爆炸头"
"HASH_DB7983B5": "战士公主下装"
"HASH_E11DF1B5": "红橙 7"
"HASH_36859DB5": "蓝色 1"
"HASH_8473D3B6": "深银"
"HASH_59883DB6": "眼球间距"
"HASH_73696FB6": "亮红"
"HASH_5ACAE7B6": "慵懒日七分裤"
"HASH_8FDD3BB6": "暗号靴"
"HASH_9E0343B6": "红发"
"HASH_1EB117B7": "会弹跳的bling，老铁！"
"HASH_22FDBBB7": "火焰喷射器"
"HASH_3A0B31B7": "秋木棕"
"HASH_CC89D7B7": "神秘人 T恤"
"HASH_9C00B5B8": "穿甲弹药"
"HASH_F3524FB8": "鼻孔间距"
"HASH_BF8315B8": "柠檬"
"HASH_A482ADB8": "金色"
"HASH_605C7BB8": "黑领结裙"
"HASH_0AEB0FB8": "海滩抹胸"
"cf_hair_wavybob-01": "花之骑士"
"HASH_266643B9": "迷彩"
"HASH_788C1DB9": "颜色不错吧，同志？"
"HASH_E9134BB9": "巧克力棕"
"HASH_D4D23FB9": "蒸汽朋克手套"
"HASH_162395B9": "奶奶眼镜"
"HASH_CD4979B9": "左黑眼"
"HASH_68D0DFBA": "奇点枪"
"HASH_6C4025BA": "嗷呜————"
"HASH_B9ED4DBA": "升级扭矩可让你在街头竞速中抢得加速优势，也能甩开警方追捕。"
"HASH_1E99E9BA": "现代男式毛衣"
"HASH_BDAEFBBA": "巡航发型"
"HASH_913EBFBA": "浅棕"
"HASH_45EFBDBB": "上唇侧大小"
"HASH_32DEC9BB": "{0} {1}(EQUIPPED)[/format]"
"HASH_C7DE39BB": "口红红"
"HASH_32CFABBB": "喷漆 4"
"HASH_B1B78FBB": "热狗"
"HASH_E3BBE1BC": "太阳穴间距"
"HASH_E7380FBC": "羽翼"
"HASH_77DF67BC": "船长靴"
"cm_lp35i_lbdy_f_stplegs": "末世长裤"
"HASH_2231A1BC": "黄色 9"
"HASH_ACACF5BD": "著名人物霍尔特先生的吉他"
"HASH_604CDBBD": "绿色金属"
"HASH_11E63DBD": "商务休闲"
"HASH_7D2705BD": "正装鞋"
"HASH_6976D9BE": "退出角色创建？"
"HASH_EAABFBBE": "挡泥裙"
"HASH_45EBABBE": "车把"
"HASH_4E7651BE": "防御"
"HASH_1BEF35BE": "瓢虫耳环"
"HASH_EC42A5BE": "摩登男装配衬衫与领结"
"HASH_6B2E4FBE": "少年梦想"
"HASH_D804F3BE": "虹彩 2"
"HASH_97E037BF": "你穿黑色很好看。"
"HASH_6B711DBF": "离子冲击波"
"HASH_9052B7BF": "淡龙蒿灰"
"HASH_9E9E4FBF": "第三街连帽衫"
"HASH_F319E7BF": "神秘粉红"
"HASH_20EFF1BF": "红色 2"
"HASH_CA04A3C0": "极限"
"HASH_8C0803C0": "大鬃毛面具"
"HASH_450111C0": "好莱坞须"
"HASH_F8DC23C0": "自然女眉"
"HASH_E09E8FC1": "武器造成更高伤害"
"HASH_70E65BC1": "全喷漆"
"male_bodybuilder": "男·健美"
"HASH_ED40ADC1": "极速赛车手"
"HASH_9FD53FC1": "叛逆马甲"
"HASH_0EDF07C1": "2015 墨镜"
"HASH_B978BDC1": "海洋馈赠"
"HASH_D2F343C1": "黄橙 2"
"HASH_2CBB95C2": "迷彩方块"
"HASH_0F7165C2": "鼻中隔宽度"
"HASH_1C0385C2": "闺蜜左环"
"HASH_372799C2": "永不受制于人"
"Level_1": "第 1 关"
"HASH_12FD95C3": "红心皇后耳环"
"cm_ubdy_fbitchtee": "雀斑妞T恤"
"cm_suit_goo01": "黏糊糊"
"HASH_5CCFA9C3": "圣徒香皂"
"HASH_68CCC9C3": "黄绿 7"
"HASH_163E49C4": "强化保险杠"
"HASH_F29FF1C4": "熊猫面具"
"HASH_CEA975C4": "女武神头盔"
"HASH_A30463C4": "橙色 5"
"HASH_EF5971C5": "子弹对装甲与机械目标造成额外伤害。"
"HASH_93F513C5": "美国！美国！美国！"
"cm_hat_donkey_mask": "驴面具"
"HASH_FD01E5C6": "武器蓄能更快、射速更高"
"HASH_32DB41C7": "只要够用心，土豆枪也能看起来很唬人。"
"HASH_A406A3C7": "大联盟重击手"
"HASH_06B0E5C7": "骷髅面具"
"cm_lp35q_hat_buttons": "纽扣"
"cm_lp35e_foot_m_entertain": "艺人鞋"
"HASH_9F2EFFC7": "坚毅"
"HASH_5C8975C7": "老者眉"
"HASH_6A8017C8": "看着快，打得也快"
"HASH_4C9BA5C8": "砰，砰。你死了。"
"HASH_21C807C8": "朋克无政府"
"HASH_8A2993C9": "给偏爱更硬核音效的人。"
"HASH_4FBD95C9": "额头"
"HASH_9F1A3DC9": "FOUR 20 103.6"
"HASH_E56CA5C9": "以眼还眼"
"HASH_1BF7D3C9": "痣 7"
"HASH_D3E5BDCA": "使武器弹药蓄能回复更快"
"HASH_A57665CA": "别无选择鞋"
"HASH_F986ABCA": "花之力凉鞋"
"cm_msspcl_suit": "晨星帮专家"
"cm_lp35p_eyes_m_nerdy": "书呆子款"
"HASH_BC24E1CB": "镀金"
"HASH_CEA405CB": "染色 50%%"
"HASH_5156E3CB": "巅峰超级变速"
"HASH_3D6BE1CB": "摔跤手帮特勤"
"HASH_476621CB": "坏坏兔拖鞋"
"HASH_39170DCB": "\\"Z\\""
"HASH_13FFB9CC": "七重纱"
"HASH_2FAC5DCC": "蒸汽朋克护目镜"
"HASH_63933DCC": "雕琢爆炸头"
"HASH_8C6B07CC": "潮人卡车帽"
"HASH_DB8945CD": "情人节也行，平时也行！"
"HASH_5F46AFCD": "后挡泥板"
"HASH_1E2EBBCD": "宽松短裤"
"HASH_77D327CD": "我好忧伤连帽衫"
"HASH_CF082FCD": "牛仔女王靴"
"HASH_5ABEB5CE": "老锈枪"
"HASH_559CA3CE": "氮气"
"HASH_8B9DCDCE": "空中蝴蝶"
"HASH_AF0447CE": "圣徒永恒"
"HASH_F7E3B3CE": "花之力量"
"HASH_750AEBCE": "高弧度"
"HASH_924E0BCF": "有人想见识警察铁腕吗？"
"HASH_BD1C1BCF": "整个右臂"
"HASH_835ACDCF": "便士锌"
"HASH_F6C455CF": "地狱公主"
"HASH_B8AD2BCF": "邻居衬衫配领带"
"HASH_F9F6E1CF": "蓬松波浪"
"HASH_0BACE5D0": "整流者"
"HASH_2C809DD0": "太阳穴深度"
"HASH_6ACD37D0": "炭灰"
"HASH_1DA97FD0": "深绿染"
"HASH_E20161D0": "硬派六人"
"HASH_E1915FD0": "僵尸源木"
"HASH_1C9A17D0": "痣 3"
"HASH_D82E21D0": "深麻点"
"HASH_CB326BD1": "回响贝斯枪"
"HASH_EB9905D1": "高加索"
"HASH_C4940BD1": "丧尸长裤"
"HASH_D83429D2": "提升武器精准度"
"HASH_006A0DD2": "贵宾腕表"
"HASH_D8CB05D2": "香肠肠衣"
"cm_ubdy_dlm": "死亡之巢连帽衫"
"HASH_47EE51D2": "80 年代科幻"
"HASH_8DCA85D3": "悄悄靠近你的猎物……"
"none": "无"
"HASH_A025ADD3": "爱情机器平角裤"
"HASH_BF00A9D3": "紧马尾"
"HASH_2EA5C3D3": "红色"
"cf_hair_vintagebob-01": "复古波波头"
"HASH_2BEFF5D5": "手持此武器时你受到的伤害更低。"
"HASH_520551D5": "威严之选。"
"HASH_14927DD5": "达阵"
"HASH_CFFF43D5": "KLASSIC 102.4"
"HASH_DBC5A9D5": "驱魔耳环"
"HASH_411977D5": "圣徒劫案头巾"
"HASH_2BAEF3D5": "鲨袭"
"HASH_695275D5": "力量"
"HASH_143041D5": "黑色"
"HASH_56D36DD6": "耗子棍"
"HASH_C7042FD6": "道格拉斯"
"HASH_043FF9D6": "你有 %ls。手术费用 %ls。\n你想做手术吗？\n已做的更改无法撤销。"
"HASH_D99F87D6": "派对女孩高跟鞋"
"HASH_E0538FD6": "晨星帮专家"
"HASH_6C6FE1D7": "亡命徒之选"
"HASH_0D82ABD7": "别用电击枪对付我，兄弟！"
"HASH_CD8049D7": "香蕉黄"
"HASH_9845E9D7": "摩托党"
"HASH_8CF009D7": "龙之魂"
"HASH_A86983D7": "狼之魂"
"HASH_358B99D8": "内饰配件"
"HASH_E15253D8": "四骷髅"
"HASH_D59E87D8": "黄橙 6"
"HASH_080275D9": "好医生"
"HASH_B11079D9": "喷漆 3"
"HASH_BDAC3FD9": "贴花 9"
"HASH_105351D9": "网络工装裤"
"HASH_256761D9": "朋克鼻环"
"HASH_C0929BD9": "迈阿密鞋"
"HASH_BF354FD9": "花哨渔网"
"HASH_F25FE3DA": "拉美裔"
"HASH_A4314BDA": "暗面靴"
"cm_ubdy_nolovetee": "没人爱我T恤"
"HASH_D6A7BFDA": "忍者2型衬衫"
"HASH_6FA10DDA": "黄绿 3"
"HASH_1DA673DB": "炽热之刃"
"HASH_CA2E39DB": "这可不是小孩子的玩具。"
"HASH_2D7027DB": "饰条"
"HASH_B7ECB9DB": "前轮"
"HASH_1B6E41DB": "精心打扮"
"HASH_98B163DB": "颊绷带"
"HASH_FF6305DC": "绑架自动机"
"HASH_A1C38BDC": "摩登男式配毛衣"
"HASH_85E957DC": "优雅时装"
"HASH_E03E71DD": "无论武器多外星，穿紫都好看。"
"HASH_32E39BDD": "唇部"
"Genki Pack": "欢乐时光装！"
"HASH_89DE45DD": "球衣"
"HASH_A469A7DD": "橙色 1"
"HASH_83D07BDE": "用此武器击杀现在会降低其过热等级。"
"HASH_A24837DE": "沙暴恶魔"
"HASH_736C8BDE": "拾荒者之选"
"HASH_CF473DDE": "青蛙王子"
"HASH_C4D659DE": "午夜蓝"
"HASH_143B15DE": "轮辋套组 9"
"HASH_531143DE": "现实狂热摇头娃"
"HASH_FC26E9DE": "女式拉链夹克"
"cm_hand_leathertrendy": "皮手套"
"HASH_5982EBDF": "反向火箭"
"HASH_C21477DF": "这一类型的经典。"
"HASH_A0CF07DF": "轮胎耐久"
"HASH_BBAB97DF": "深蓝金属"
"Wonder Saint": "亚马逊女王"
"HASH_04C9FBDF": "日常平角裤"
"HASH_DD8D71DF": "武士铠甲"
"cf_hair_pompadour-01": "蓬巴杜辫"
"HASH_D5A881E0": "黑金"
"HASH_12A6D5E0": "愤怒 "
"HASH_67D5EDE0": "现代男性"
"HASH_0E630BE0": "卡巴纳 Polo 衫"
"cf_foot_50sshoes": "袜子舞鞋"
"HASH_09C3BBE1": "摩托靴"
"HASH_17944FE1": "朋克美味"
"HASH_B9CD3FE1": "西装"
"HASH_275421E2": "提升武器有效射程"
"HASH_FFDB4DE2": "嘴角深度"
"HASH_AD97CBE2": "下背"
"HASH_87CB3DE2": "潮人眼镜"
"HASH_DCB803E2": "破樱桃"
"HASH_E43E9BE3": "一日圣徒，终身圣徒。"
"HASH_4ABCF9E3": "充气射线"
"HASH_8FA409E3": "亚洲"
"HASH_911421E3": "恶魔泳裤"
"HASH_3E08DFE3": "面部穿刺"
"HASH_9E5D9BE4": "整个右腿"
"HASH_C9DFA7E4": "天使狂热"
"HASH_48089BE4": "双黄"
"HASH_91927FE4": "市政"
"HASH_76A477E4": "匪帮女孩"
"HASH_739405E4": "男模衬衫配领结"
"HASH_6A6851E4": "钢埠女英雄衬衫"
"HASH_600113E5": "他们永远料不到你会来。"
"HASH_0B5AF3E5": "油亮喷棕"
"HASH_C9168FE5": "撒尿狗"
"HASH_C9CAADE5": "劈砍靴"
"HASH_8F198FE5": "松散马尾"
"cm_lp35q_hat_strainer": "滤勺帽"
"cm_lp35h_suit_m_karate": "空手道眼镜蛇"
"HASH_FE55FFE5": "部落环纹"
"HASH_2244FFE6": "给那些嚣张人类一点颜色看看。"
"HASH_919A4DE6": "鼻孔高度"
"Redhead": "红发"
"HASH_1174BDE6": "小丑"
"HASH_BE47FFE6": "灰色 2"
"HASH_1A49F5E7": "野马"
"HASH_D49E3FE7": "盖特吉祥物装"
"HASH_E5293DE7": "碎颅耳环"
"HASH_1473FDE8": "银河红"
"HASH_A8A603E8": "塑料"
"cm_ubdy_ffiretee": "友军误伤T恤"
"HASH_48D721E8": "心碎"
"HASH_5579E5E8": "翱翔之时"
"HASH_9CC421E9": "拉美裔 3"
"HASH_929F37E9": "大猫面具"
"HASH_9A09A5E9": "红衣主教眼镜"
"cf_hair_mullet_01": "80年代摇滚女郎"
"HASH_70714BE9": "萨梅迪之子"
"HASH_CAC4D9EA": "尊重我的权威"
"HASH_CAE577EA": "攻击"
"cf_eyes_pixelshades": "低分辨率墨镜"
"HASH_B0CEF1EA": "晴朗夜空"
"HASH_2F9A35EB": "地雷喷射臂"
"HASH_3733B1EB": "非裔 4"
"HASH_291D6DEB": "黑钛"
"HASH_B377B7EB": "贴花 1"
"HASH_E0EE55EB": "愤怒老虎面具"
"HASH_B33513EB": "天后耳环"
"cm_ubdy_volition": "V字连帽衫"
"HASH_4CB75DEB": "五点钟胡"
"HASH_2D337BEB": "紫红 2"
"HASH_E33BD7EB": "棕色 3"
"HASH_32EA47EB": "腹部"
"HASH_D1875BEC": "绿色迷彩"
"HASH_02F69DEC": "选项 3"
"HASH_CC2EA5EC": "山姆大叔"
"HASH_831D47EC": "右鼻钉"
"cm_lp35l_head_m_flighthelm": "飞行头盔"
"HASH_477C0FEC": "淡褐"
"HASH_DACADFED": "沥青黑"
"HASH_3B6B5BED": "纯青"
"HASH_52E98BED": "内心平和"
"HASH_D42AF1EE": "双下巴深度"
"HASH_9DDC55EE": "丑角紫"
"HASH_6D4435EE": "钢埠惊艳帽"
"cm_lbdy_boardshorts01": "冲浪短裤"
"HASH_3DE76DEE": "困惑"
"HASH_402BC9EE": "比基尼晒痕，丁字裤"
"HASH_0EF2C1EF": "特种部队冲锋枪"
"HASH_2677A3EF": "冰白"
"HASH_3FF1F5EF": "中灰"
