# TODO: Translate to Simplified Chinese
# Source: new_sr35_us.txt
# Format: "KEY": "Chinese translation"
# Total entries: 1308

"HASH_1B989100": "增加可用念力投掷物体的距离。"
"HASH_098C88E2": "不要试。去做，或者不做。没有尝试这回事。"
"HASH_A264FDE2": "用Dubstep枪让世界充满音乐和爆炸。在你的传送门武器库中装备它。"
"HASH_B0A216E2": "激活冲击波"
"HASH_BA26CEE2": " [format][color:use]已激活[/format] 路径点"
"HASH_C40D6BE3": "武器 - 弹跳步枪连发"
"HASH_803103E3": "可以使用你的HUB\"手机\"菜单将盖特呼叫到模拟世界中。他会很乐意在战斗中帮助圣徒。"
"HASH_941F57E3": "传送门 - 东斯坦菲尔德"
"HASH_6DAD49E3": "和基思·大卫一起玩。"
"HASH_3F4F37E3": "激活爆炸增益"
"HASH_70D4D9E3": "与副总统浪漫互动"
"HASH_E10D4FE3": "开始UFO狂暴"
"UNL_DESC_SPRINTING_2": "超级冲刺穿过物体会把它们撞倒，但你不会被撞倒！"
"HASH_D9A281E4": "{ATTACK_SECONDARY_IMG} 拾起并投掷物体/人"
"HASH_B7AED6E4": "更改任务分配"
"HASH_95BB9AE4": "与C.I.D.交谈"
"HASH_87D38EE4": "赢得所有烈焰银牌以获得火焰免疫。"
"UNL_DESC_WEP_BLACK_HOLE": "用奇点枪制造致命黑洞！\n在你的传送门武器库中装备它。"
"UNL_STOMP_REDUCED_MANA_1": "践踏 - 充能"
"UNL_DESC_VEHICLE_NG_TANK": "你现在有了挑战者坦克，在传送门车库里可以找到。"
"HASH_F30FBFE6": "和阿莎一起执行一些间谍任务。"
"HASH_904F85E6": "有时候典狱长和指挥C.I.D.比你想要的更麻烦。进一步掌控模拟世界，让敌人的反应直接终结！"
"UNL_SUPER_SHIELD": "冲刺护盾"
"UNL_HOMIE_TANYA": "搭档 - 坦雅"
"HASH_26E195E7": "超级搭档 - 皮尔斯"
"UNL_DESC_SUPPRESS_DURATION_1": "被能力压制手雷击中后，能力恢复稍快一些。"
"HASH_6CF963E7": "根子博士的M.O.M.金牌"
"HASH_77AA43E8": "载具 - 镀铬响尾蛇"
"HASH_57F82FE8": "在你的HUB\"手机\"菜单中可以找到根子后援。根子女孩们会赶到战斗支援。"
"HASH_C050DDE8": "激活力场念力"
"HASH_A8A271E8": "呼叫圣诞老人"
"HASH_9E39DCE8": "{JUMP_CLIMB_IMG} 跳跃"
"HASH_D8FA7BE8": "超级跳跃滞空时间"
"HASH_C430B8E8": "烈焰银牌"
"HASH_B4BF01E9": "生命 - 真空"
"HASH_C5D5A9E9": "传送门 - 西卡弗岛"
"HASH_00F0BBE9": "传送门缓存弹药"
"HASH_516B38E9": "抓住指挥C.I.D.可以消除通缉度。"
"HASH_BA8AEBE9": "肖恩蒂阵亡！"
"HASH_83F420EA": "念力 - 投掷距离"
"UNL_SHIELD_DAMAGE": "护盾 - 伤害"
"HASH_A13A93EA": "你现在有了圣徒风格的外星悬浮摩托，在传送门车库里可以找到。"
"UNL_DESC_TELEKINESIS_FIRE": "用念力投掷的人会被点燃。"
"HASH_900CECEA": "雕像控制"
"HASH_84ACC1EA": "装备冰冻[format][color:power_blast]冲击波[/format]"
"M22_1_FAIL_KEY_DESTROYED": "钥匙被摧毁了！"
"HASH_AC57CFEB": "冲刺 - 速度2"
"HASH_8F5C7DEB": "跑！像风一样跑！"
"HASH_6A3954EB": "超级跳跃时获得更长的滞空时间。"
"UNL_JUMP_1": "从天而降"
"HASH_8B602BEC": "增益 - 团队玩家"
"HASH_86FDFAEC": "爆破 - 范围"
"HASH_1E3179EC": "从选项菜单打开控制方案"
"HASH_ED3FDAEC": "完成其他19个挑战"
"HASH_36F5F4ED": "搭档 - 马特·米勒"
"UNL_HADOUKEN_SUPPRESSION_1": "核爆 - 能量恢复"
"HASH_D095FFED": "天降正义 - 范围2"
"HASH_308F6CED": "增益 - 充能4"
"HASH_4E7A37ED": "激活闪亮念力"
"HASH_E8F473ED": "获取[format][color:use]武器[/format]"
"HASH_6AEF17ED": "根子博士的M.O.M.银牌"
"HASH_C8DE46ED": "膨胀射线击杀"
"HASH_1B0204EE": "增益能量恢复极快。"
"HASH_41107DEE": "在[format][color:location]友好火力[/format]处设置GPS"
"HASH_8E8E96EF": "爆破 - 充能"
"UNL_AIR_DASH_2": "跳跃 - 空中冲刺2"
"HASH_F4DDE6EF": "生命吸取"
"HASH_9E0D38EF": "前往[format][color:location]飞船[/format]"
"HASH_38BD48EF": "[format][color:defend]保卫[/format]飞船"
"UNL_DESC_VEHICLE_NO_RAGDOLL": "即使站着不动，汽车也无法再把你撞倒了！"
"UNL_DESC_RELOAD_COOLDOWN_4": "按{PICKUP_RELOAD_IMG}可大幅加快外星武器冷却。"
"HASH_15C2D2F0": "忍者反射 - 生命"
"UNL_VEHICLE_HOVER_TANK": "载具 - 悬浮坦克"
"UNL_DESC_SHIELD_1": "对护盾的攻击会恢复其他能力。"
"HASH_AFE2D9F1": "践踏[format][color:power_pound]断路器[/format] "
"HASH_58BD85F1": "冲刺擦肩"
"HASH_350F6FF2": "超级搭档 - 约翰尼·盖特"
"HASH_8264CEF2": "队友 - 马特·米勒"
"UNL_DESC_SUPER_TK": "你现在可以用念力拾起并投掷人/物体了！\n\n用{SUPER_QUICK_TELEKINESIS_IMG}快速切换到念力。"
"HASH_40BDD7F2": "适度增加生命补给被吸向你的范围。"
"HASH_553802F2": "嘲讽"
"HASH_92E501F2": "呼叫香蒂"
"HASH_D1A73BF2": "[format][color:use]进入[/format]模拟世界"
"UNL_STOMP_ARC": "践踏 - 范围"
"UNL_DESC_WEP_TENTACLE_BAT": "在日本可是大受欢迎！\n在传送门武器库装备侵犯者。"
"UNL_DESC_SUPER_NUKE": "你现在可以用核能摧毁整片街区了！\n\n从高空使用天降正义来制造核爆！"
"UNL_DESC_STOMP_REDUCED_MANA_1": "践踏能量恢复更快。"
"HASH_1E0F6CF3": "超级冲刺"
"HASH_221C84F3": "摧毁[format][color:kill]C.I.D.们[/format]"
"HASH_15E1FAF3": "机甲狂暴"
"HASH_352EABF3": "赢得所有念力裂缝金牌以解锁更强的念力能力。"
"UNL_NITROUS_DAMAGE": "氮气 - 伤害"
"HASH_74BF80F4": "就像包装上写的：就一直轰下去。"
"HASH_8DB78BF4": "与模拟世界融为一体，用你的精神力扔飞敌人！力场在撞击时造成额外伤害！"
"HASH_CA9199F4": "歼灭外星人"
"HASH_73ECCAF4": "进入外星人控制区"
"HASH_4832CBF4": "摧毁杀戮机器人"
"HASH_6DFE63F5": "载具 - 线框幻影"
"HASH_258157F5": "你现在可以用冲击波向敌人射出能量了！\n\n用{SUPER_QUICK_FREEZE_IMG}快速切换到冲击波。"
"HASH_1AF142F5": "超级跳跃"
"HASH_EF381AF5": "等待其他玩家"
"HASH_FEB996F5": "目标被黑洞吞噬"
"HASH_126E21F6": "弹跳步枪的子弹在击中目标后现在会分裂成两颗。"
"UNL_DESC_HOMIE_JULIUS": "朱利叶斯·利特尔已被重建为盟友，在你的HUB\"手机\"菜单中可以找到他。他会在战斗中帮助圣徒。"
"HASH_78B768F6": "超能力选择"
"HASH_456B6FF6": "[format][color:location]下楼[/format]"
"HASH_8D7100F6": "跑酷裂缝金牌"
"HASH_5AA635F7": "在你的HUB\"手机\"菜单中可以找到罗迪·派珀。别管基思说的，你随时可以呼叫罗迪帮忙。"
"HASH_5C65ACF7": "冰冻 - 敌人"
"HASH_25360DF7": "按{JUMP_CLIMB_IMG} 跳跃 / 壁跳\n按住{JUMP_CLIMB_IMG} 蓄力跳"
"UNL_TELEKINESIS_1": "念力 - 汽车"
"HASH_731C92F8": "大幅降低机甲悬浮的消耗。"
"HASH_5A2FEDF8": "移除更多安全协议，让机甲武器充能更快。"
"HASH_3CAAE0F8": "根子博士的M.O.M."
"HASH_3CC6EEF8": "{PLANE_TURN_LEFT_IMG}/{PLANE_TURN_RIGHT_IMG} 翻滚\n双击进行桶滚！"
"HASH_866E50F8": "{ATTACK_SECONDARY_IMG} 冰冻[format][color:power_blast]冲击波[/format] \n冰冻敌人可以让他们停止，你在他们冰冻时能造成更多伤害。"
"HASH_FD44BAF8": "前往[/format][color:location]行星齐恩[/format]"
"HASH_0B8B11F8": "外星载具行驶距离"
"HASH_B1A3C3F8": "完成所有其他挑战"
"HASH_09B923F9": "降低你周围的温度和子弹温度至绝对零度，冰冻敌人并造成额外伤害。\n\n双击{SUPER_QUICK_SHIELD_IMG}快速切换增益元素。或在能力菜单中切换。"
"HASH_2CFB0BF9": "指挥 C.I.D."
"HASH_CD1437F9": "选择你的[format][color:use]队伍[/format]"
"HASH_28BE38F9": "在合作中与好友对战"
"HASH_3338DFF9": "赢得所有念力裂缝银牌以增强你的念力能力。"
"HASH_91523BFA": "已揭示 - 新科尔文"
"HASH_58EDDCFA": "冲击波能量恢复更快。"
"MM_1_1_FAIL_FP": "闪光点失败！"
"HASH_99A65CFA": "接住[format][color:location]香蒂[/format]"
"HASH_8E2EB3FB": "黄金武器外观"
"UNL_DESC_VEHICLE_UFO": "你现在有了外星UFO，在传送门车库里可以找到。"
"HASH_83C2B3FB": "用触手杀外星人。这才叫讽刺！"
"HASH_4D7E96FC": "基思·大卫现在拥有超能力了！还有什么角色是基思·大卫演不了的吗？从HUB\"手机\"菜单呼叫基思·大卫，看看他的新装备！"
"HASH_78E430FC": "金吉现在在飞船上了。去找她接取能进一步增强你超能力的任务。"
"HOMIES_UFO": "UFO"
"HASH_342F82FC": "火"
"HASH_A8485BFC": "装备火焰[format][color:power_blast]冲击波[/format]"
"HASH_A2A330FC": "摧毁[format][color:kill]面板[/format]"
"HASH_570007FC": "生命值吸取"
"HASH_CC624DFC": "完成其他36个挑战"
"UNL_SUPPRESS_DURATION_2": "压制 - 能力恢复2"
"HASH_E82B85FD": "搭档 - 阿莎·奥德卡"
"UNL_DESC_SHIELD_REDUCED_MANA_3": "护盾不再消耗耐力。"
"HASH_8BBD20FD": "传送门 - 东新科尔文"
"HASH_38CF3FFD": "呼叫齐摩斯"
"HASH_3BD330FD": "保护[format][color:defend]钥匙[/format]"
"HASH_0F27B0FD": "摧毁 C.I.D."
"HASH_F4AFD6FE": "队友 - 金吉和基思"
"HASH_AF9F03FE": "让火焰狂热开始吧，向你的敌人降下地狱之火！\n\n双击{SUPER_QUICK_FREEZE_IMG}快速切换冲击波元素。或在能力菜单中切换元素。"
"HASH_2A4B10FE": "从选项菜单打开控制选项"
"HASH_EB0EB0FE": "摧毁[format][color:kill]传送门[/format]"
"HASH_B7F952FE": "前往[format][color:location]热点[/format]"
"HASH_9DA615FE": "击杀[format][color:kill]老手们[/format]"
"HASH_949B0BFE": "护盾格挡的伤害"
"UNL_DESC_HOMIE_MAERO": "马埃罗已被重建为盟友，在你的HUB\"手机\"菜单中可以找到他。他会在战斗中帮助圣徒。"
"HASH_4D705AFF": "在主菜单开始合作战役"
"HASH_5F6F45FF": "压制手雷"
"HASH_9A8A8CFF": "你快到了！在完成掌控模拟世界的过程中，使用黄金武器。"
